concentration_wt_percent,load_regime,primary_included,variant,velocity_model,scale_mode,fit_valid,invalid_reasons,experimental_velocity_identification,map_count,speed_group_count,n_data,contact_scale_observation_count,likelihood_observation_count,parameter_count,dmin_nm,dmax_nm,contact_shift_nm,excluded_speed_label_um_per_s,lambda_D_nm,lambda_local_ci95_low_nm,lambda_local_ci95_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_local_ci95_low_mV,zeta_local_ci95_high_mV,chi_observed_over_no_slip,chi_local_se,chi_local_ci95_low,chi_local_ci95_high,viscosity_mPa_s,force_weighted_rss,joint_force_plus_contact_scale_weighted_rss,aic,aicc,r2,rmse_pN,jacobian_rank,jacobian_condition,optimizer_success,optimizer_status,optimizer_nfev,optimizer_message,local_ci_interpretation,delta_aicc_within_primary_models,aicc_preferred_within_tested_models
0,main,True,primary,M0_no_hydrodynamic,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,18.58886186642411,18.348734040131912,18.832132218671163,73.97642602333772,-73.97642602333772,72.00794524884188,75.99871914515397,0.0,nan,nan,nan,0.8806453437937073,408.7482600470506,415.39298172097153,437.39298172097153,439.4394933488785,0.9993662708223798,10.073385022091214,11,24.010347643149256,True,2,14,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,16.609556378930165,False
0,main,True,primary,M1_no_slip_chi1,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,18.468903560155628,18.22370706712695,18.71739912510047,73.67888522472131,-73.67888522472131,71.692225014523,75.72059769184129,1.0,nan,nan,nan,0.8806453437937073,415.7054915786916,423.1225579905197,445.1225579905197,447.16906961842665,0.9993594178807464,10.12770372875414,11,24.113789251107086,True,2,14,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,24.339132648478312,False
0,main,True,primary,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,12,25.0,250.0,0.0,nan,18.89515334754837,18.518289355536826,19.279686863766386,75.18325494240673,-75.18325494240673,72.9093500645409,77.52807861723078,-4.053087871200684,1.9020692664180383,-7.781143633380038,-0.3250321090213286,0.8806453437937073,392.1812029775907,396.39243696994833,420.39243696994833,422.82993696994833,0.999407074987815,9.74369021562272,12,61.46450358844656,True,2,30,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,0.0,True
0,main,True,M2_dmin30,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,30.0,250.0,0.0,nan,19.5995629991923,19.216046281087813,19.990734001165286,73.77128396811932,-73.77128396811932,71.93212365341213,75.65746792805477,-5.61090336026338,1.678287275593166,-8.900346420425986,-2.3214603001007754,0.8806453437937073,240.64397240319107,243.3225105336114,267.3225105336114,269.8185105336114,0.9994376253655524,7.3590822472109565,12,67.35978384530182,True,2,15,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_dmax150,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,78,3,81,12,25.0,150.0,0.0,nan,18.127318870237016,17.76629997244418,18.49567382814173,75.64144272885744,-75.64144272885744,73.41065506479896,77.94001910284807,-8.584122725334284,3.07684644105044,-14.614741749793147,-2.553503700875422,0.8806453437937073,106.36920692747445,110.48590039901411,134.4859003990141,139.07413569313175,0.9998044809394481,6.79279791327669,12,137.8985177812587,True,2,42,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_dmax350,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,198,3,201,12,25.0,350.0,0.0,nan,18.971401949687273,18.640802999416913,19.30786414876313,74.30443257510977,-74.30443257510977,72.11156632394174,76.56398247552637,-0.06264318853939094,1.2536111979243947,-2.519721136471204,2.3944347593924227,0.8806453437937073,628.3604650809011,639.966304502107,663.966304502107,665.6258789701922,0.9990998139633913,10.330895113178837,12,38.15107537002025,True,2,9,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,True,,confounded_with_sequential_map_history,3,3,138,0,138,9,25.0,250.0,0.0,nan,18.96456757606741,18.710234654412368,19.222357709041944,74.39201227273601,-74.39201227273601,73.83730104076649,74.95089083675228,-5.216122561759873,0.7487419959404447,-6.6836568738031445,-3.748588249716601,0.8806453437937073,437.2236283810927,437.2236283810927,455.2236283810927,456.6298783810927,0.9993956736874038,9.836924412353893,9,21.613684996025405,True,2,8,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,25.0,250.0,-2.5,nan,19.38880912068285,19.011736438112578,19.77336054189457,68.25259449284788,-68.25259449284788,66.47165136085671,70.08125358155822,-4.7089966192014385,1.6505150300497604,-7.944006078098969,-1.473987160303908,0.8806453437937073,254.09969660764602,256.98142246408884,280.98142246408884,283.4774224640888,0.999404142788223,7.574987052278588,12,66.97754845554508,True,2,10,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,25.0,250.0,2.5,nan,19.230558688109372,18.81867239244169,19.65145998318939,82.25737173520251,-82.25737173520251,79.82365493511217,84.76528931534804,-6.37636380442527,2.022932929450413,-10.34131234614808,-2.4114152627024605,0.8806453437937073,353.5970624196897,357.75469555467396,381.75469555467396,384.25069555467394,0.9994600131710856,9.378760223939775,12,65.40287885513061,True,3,36,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_leave_out_1um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,1.0,20.061551532798386,19.335008161444584,20.81539591514999,79.10612658239532,-79.10612658239532,75.46519955236545,82.92271537064798,-12.614707578440772,3.002552662571744,-18.49971079708139,-6.729704359800154,0.8806453437937073,303.54884980672375,311.89871576634386,329.89871576634386,332.041572909201,0.9993026290063848,10.520485017649825,9,84.63334550932412,True,3,40,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_leave_out_2um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,2.0,18.12732395733555,17.84841690303314,18.410589333463484,75.10932010721653,-75.10932010721653,73.11971632538808,77.1530614514919,-2.878076102355403,1.3637588268297123,-5.551043402941639,-0.20510880176916668,0.8806453437937073,138.46878440824486,140.2329808734356,158.2329808734356,160.37583801629273,0.9996749181884693,7.09280644565969,9,53.81933053581202,True,3,32,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
0,main,True,M2_leave_out_4um_s,M2_fitted_chi,contact_constrained,False,parameter_boundary,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,4.0,17.908044842398315,17.51458427202633,18.31034440192545,69.81966452589627,-69.81966452589627,68.12644421279529,71.55496827754783,19.999999999999996,3.0466469251465123,14.028572026712833,25.97142797328716,0.8806453437937073,86.63949363953269,91.67727253894864,109.67727253894864,111.82012968180578,0.999798932487107,5.7922975035299995,9,82.62910602326446,True,2,14,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,primary,M0_no_hydrodynamic,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,18.099356257606452,17.913216086922137,18.287430651769917,78.11977164466036,-78.11977164466036,76.14629030956445,80.1443996418476,0.0,nan,nan,nan,1.5012961065149393,154.95908479856146,160.26955724990466,182.26955724990466,184.31606887781163,0.998829255195366,14.18510964842744,11,20.02958457865714,True,3,20,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,0.0,True
20,main,True,primary,M1_no_slip_chi1,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,17.937685788208352,17.714478315218187,18.16370573894198,77.49950887500718,-77.49950887500718,75.5014811518725,79.55041125333419,1.0,nan,nan,nan,1.5012961065149393,158.11888074052968,164.35714828685946,186.35714828685946,188.40365991476642,0.9988121916528689,14.2881093071536,11,20.252820072836705,True,2,16,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,4.087591036954791,False
20,main,True,primary,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,12,25.0,250.0,0.0,nan,18.11031176004205,17.80309866131481,18.42282617680527,78.19200110146329,-78.19200110146329,75.96964394622758,80.47936937257211,-0.14992471081853806,0.8056347517081685,-1.7289688241665482,1.4291194025294722,1.5012961065149393,155.0557221821776,160.20415876557416,184.20415876557416,186.64165876557416,0.9988259947236354,14.204848361952036,12,61.0433085611226,True,2,16,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,2.3255898877625327,False
20,main,True,M2_dmin30,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,30.0,250.0,0.0,nan,18.688679033172633,18.321048658966696,19.063686282717672,78.29719966998792,-78.29719966998792,76.31787580304109,80.32785781385272,-1.8792931661226975,0.8071660427665481,-3.4613386099451318,-0.2972477223002632,1.5012961065149393,118.35223202379552,123.66014302269954,147.66014302269954,150.15614302269955,0.9990124740641028,10.179078640155083,12,68.67783918567503,True,3,43,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_dmax150,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,78,3,81,12,25.0,150.0,0.0,nan,17.293644324508094,16.912983966357597,17.682872201468726,76.70983486358807,-76.70983486358807,74.63210291692184,78.84541014942702,1.2283439151908526,1.3419957742644752,-1.4019678023675186,3.858655632749224,1.5012961065149393,48.30225785150442,49.62747184130109,73.62747184130109,78.21570713541874,0.99958845485081,10.252435968163613,12,131.73211140905983,True,3,28,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_dmax350,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,198,3,201,12,25.0,350.0,0.0,nan,18.347967719594045,18.040864653732676,18.66029848905342,78.30071417645298,-78.30071417645298,76.30501753233762,80.34860666854972,-0.021975923273906274,0.4858902600279497,-0.9743208329286878,0.9303689863808752,1.5012961065149393,214.4126963126598,222.05615751188037,246.05615751188037,247.71573197996548,0.9984813788621794,13.86813551971555,12,37.8093626039275,True,2,17,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,True,,confounded_with_sequential_map_history,3,3,138,0,138,9,25.0,250.0,0.0,nan,18.17962511482702,17.931735506747913,18.430941566770205,78.38096044052494,-78.38096044052494,77.61818122300434,79.15123573854518,-0.6295429729886703,0.3931182491531975,-1.4000547413289373,0.14096879535159668,1.5012961065149393,184.4074944495557,184.4074944495557,202.4074944495557,203.8137444495557,0.9987155840405741,14.857797130890695,9,25.469279202668528,True,2,8,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,25.0,250.0,-2.5,nan,18.453361602455104,18.098408438791175,18.815276248330086,71.81937730936198,-71.81937730936198,69.96646200042325,73.72136320217673,-1.3140847178980537,0.7791916369385997,-2.8413003262977092,0.2131308905016016,1.5012961065149393,125.2420962524973,130.72970534329545,154.72970534329545,157.22570534329546,0.9989538774217698,10.47672397826292,12,66.6088131168169,True,3,32,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,25.0,250.0,2.5,nan,18.394178854426997,18.064317011508436,18.730064109985204,86.28797213636315,-86.28797213636315,83.79706437562488,88.85292331996756,-1.1279809590093828,0.8716428075068359,-2.8364008617227814,0.5804389437040156,1.5012961065149393,142.76736242255896,147.41853045331135,171.41853045331135,173.91453045331136,0.9989169371803108,13.763608574067254,12,66.00510028491951,True,3,33,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_leave_out_1um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,1.0,17.367868465284012,16.76363271922513,17.993883550161065,77.24975952418343,-77.24975952418343,74.229245817339,80.39318304848291,1.876713567086888,1.0828495921925156,-0.24567163361044275,3.9990987677842185,1.5012961065149393,99.75458564815177,106.48727012066914,124.48727012066914,126.63012726352628,0.9980259771112278,18.41551697875537,9,80.90774795369613,True,3,32,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_leave_out_2um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,2.0,17.91696360475556,17.554118478066343,18.28730877117201,77.79762308994432,-77.79762308994432,75.57323493861387,80.08748286825752,-0.1476002938701953,0.7902610676321256,-1.6965119864291613,1.4013113986887709,1.5012961065149393,97.88769025289935,98.76370609589704,116.76370609589704,118.90656323875417,0.9994732233304009,9.347502508299334,9,61.48290383750892,True,2,15,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
20,main,True,M2_leave_out_4um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,4.0,17.860858608751997,17.654075277861306,18.070064006234176,70.87105191722732,-70.87105191722732,69.90742610527391,71.84796064856705,18.79222705159113,1.0750576285074842,16.68511409971646,20.8993400034658,1.5012961065149393,9.27134307193344,9.497365022584301,27.4973650225843,29.640222165441443,0.9999017251314898,4.13561808253494,9,69.71085304965243,True,2,15,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,primary,M0_no_hydrodynamic,contact_constrained,True,,confounded_with_sequential_map_history,4,3,184,4,188,14,25.0,250.0,0.0,nan,15.910999808289105,15.697763415578997,16.12713277664329,78.57433360242716,-78.57433360242716,76.75749502531718,80.4341764804746,0.0,nan,nan,nan,2.0886040760749633,256.793559081288,415.3317857184207,443.3317857184207,445.75953138316055,0.996129297988479,22.437415089309848,14,14.292909082207148,True,2,13,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,11.071063827708883,False
30,high_load,True,primary,M1_no_slip_chi1,contact_constrained,True,,confounded_with_sequential_map_history,4,3,184,4,188,14,25.0,250.0,0.0,nan,15.728094205515209,15.512340670474162,15.946848550612684,78.11957558077972,-78.11957558077972,76.24174256796512,80.04365959344356,1.0,nan,nan,nan,2.0886040760749633,275.38626772104953,439.71972172088323,467.71972172088323,470.1474673856231,0.9957399024413901,23.538984651797428,14,14.403040840577425,True,2,13,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,35.45899983017142,False
30,high_load,True,primary,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,184,4,188,15,25.0,250.0,0.0,nan,16.254284806773907,15.942931885110909,16.571718206138666,79.33188502727076,-79.33188502727076,77.43282592651096,81.27751901955784,-1.5501984644505746,0.575176367054414,-2.677544143877226,-0.4228527850239232,2.0886040760749633,249.05695418364854,401.89776988103307,431.89776988103307,434.68846755545167,0.9967247317542094,20.63960543449369,15,47.200537092839724,True,4,32,Both `ftol` and `xtol` termination conditions are satisfied.,conditional_bins_correlated_not_map_replication_ci,0.0,True
30,high_load,True,M2_dmin30,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,180,4,184,15,30.0,250.0,0.0,nan,16.405638612484783,16.04517409409757,16.7742011837977,78.6404365370845,-78.6404365370845,76.76325241710636,80.56352569768222,-1.580810480959006,0.5708192420320021,-2.69961619534173,-0.46200476657628187,2.0886040760749633,188.35260340658175,351.5527331196157,381.5527331196157,384.40987597675854,0.998883342472449,9.336108872905285,15,48.61997473417318,True,3,29,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_dmax150,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,104,4,108,15,25.0,150.0,0.0,nan,15.883783572479425,15.53427286715145,16.24115803391517,79.65572279212647,-79.65572279212647,77.35026755900155,82.02989302779339,-3.2498097697977824,1.1192507002945593,-5.4435411423751185,-1.0560783972204462,2.0886040760749633,116.78137899299094,195.93524695660378,225.93524695660378,231.1526382609516,0.9979182919453848,20.444004687737298,15,99.11873432023005,True,2,20,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
