concentration_wt_percent,slow_speed_um_per_s,fast_speed_um_per_s,comparison,slow_map_timestamp,fast_map_timestamp,distance_nm,paired_pixel_count,spatial_block_size_pixels,spatial_block_count,slow_force_q25_pN,slow_force_median_pN,slow_force_q75_pN,fast_force_q25_pN,fast_force_median_pN,fast_force_q75_pN,median_difference_fast_minus_slow_pN,difference_mad_pN,robust_effect_median_over_mad,difference_pointwise_ci95_low_pN,difference_pointwise_ci95_high_pN,difference_simultaneous_ci95_low_pN,difference_simultaneous_ci95_high_pN,paired_dominance_fast_gt_slow,dominance_pointwise_ci95_low,dominance_pointwise_ci95_high,dominance_simultaneous_ci95_low,dominance_simultaneous_ci95_high,bootstrap_median_positive_fraction,bootstrap_median_negative_fraction,simultaneous_force_difference_excludes_zero,inference_scope
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,25.0,255,4,16,1838.645870018551,1902.4839356571,1957.6647163069574,1861.892483452561,1931.3414511056449,1977.2680785027533,21.955377712517475,112.54187933668831,0.19508629002750347,3.922759752510501,42.53128213599666,-13.960066639303164,57.870822064338114,0.596078431372549,0.546875,0.64453125,0.5140475780295084,0.6781092847155896,1.0,0.0,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,30.0,255,4,16,1393.1574623149286,1442.420013524762,1483.2943197942986,1432.008058575383,1475.2392131467998,1527.4056956517268,33.003653071748204,85.68938815866356,0.38515449556762177,21.699917974953564,49.851411070566314,5.940006216531295,60.06729992696511,0.6588235294117647,0.59765625,0.7176470588235294,0.5587783925519584,0.758868666271571,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,35.0,255,4,16,1060.1247197566663,1101.497643954801,1142.7237202230558,1114.8920596947091,1150.3249978723393,1193.906604184242,47.698232441616256,72.25974795914559,0.6600940881856385,35.03866906763028,61.52079868074111,20.317632292550527,75.07883259068198,0.7294117647058823,0.6796875,0.7803921568627451,0.6473644523393304,0.8114590770724343,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,40.0,255,4,16,816.2708711702207,850.2068774260023,887.0992589475134,863.4652878997591,905.7088351688761,945.4832746746771,51.611986276596326,60.64063734411519,0.8511122002843685,41.3417645888361,63.37749010402098,26.382070485040426,76.84190206815222,0.788235294117647,0.74609375,0.8307086614173228,0.7191075384038974,0.8573630498313967,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,45.0,255,4,16,627.2306687272184,662.183157174604,693.8748599175935,679.6403736507185,719.1324716288028,748.2616556925605,53.76507993527355,59.4697036794739,0.9040751274809308,44.09133468917997,62.37150573181066,33.71267308064468,73.81748678990242,0.8156862745098039,0.7734375,0.8549019607843137,0.7477459061831608,0.883626642836447,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,50.0,255,4,16,479.0468909799181,514.4234970449016,544.8554630559058,532.9749127941175,572.9783459798168,596.9906470105647,52.95389109036694,56.10185694293262,0.9438883840196622,40.1213782606053,62.948613041633735,27.538957211073118,78.36882496966075,0.8313725490196079,0.7843137254901961,0.8779527559055118,0.7538932308654298,0.908851867173786,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,55.0,255,4,16,367.6572883358351,401.8130324652042,431.8689237307616,423.3971276402792,454.7495252999255,481.53910413458254,47.894260204322336,51.96088714857792,0.9217367684153006,38.43864719518234,57.08359939925066,26.982755196121634,68.80576521252304,0.8117647058823529,0.7607843137254902,0.86328125,0.7252598047744013,0.8982696069903046,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,60.0,255,4,16,283.24640022675237,312.02212940781504,339.83232853227105,328.91737874752704,362.34644949108815,388.1503805866304,43.41973648685405,46.93773767068756,0.9250496219371371,36.931732991640466,53.69620078715241,27.456302611910992,59.383170361797106,0.8431372549019608,0.79296875,0.8858267716535433,0.7668475916314629,0.9194269181724587,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,65.0,255,4,16,217.04961884563266,243.6584341958307,270.06996455407705,256.22710672315816,286.4679248418136,314.12950713561065,39.774519663910866,42.14271009679697,0.9438054546694639,33.78636722173803,47.015771798461856,25.073295135194808,54.47574419262692,0.8156862745098039,0.7725490196078432,0.857156973461321,0.7452590394706019,0.8861135095490059,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,70.0,255,4,16,165.35230084944678,188.8133565521792,212.5463449095405,203.56494164122665,231.5306191460229,254.4137778141494,36.09873843513324,42.50035516074129,0.8493749828349342,28.87569195602029,42.89937950997782,23.94459300865209,48.25288386161439,0.8196078431372549,0.7795275590551181,0.8656258753228967,0.7479351590631339,0.8912805272113759,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,75.0,255,4,16,121.90892689193767,146.65837879312173,169.93653984379498,156.48507643844633,184.32476661002065,207.92043271303257,31.435449171057172,46.17999961528689,0.6807156655031922,24.461776374047886,34.82156913661498,20.000310365226454,42.87058797688789,0.7686274509803922,0.7294117647058823,0.8117647058823529,0.699318950507027,0.8379359514537574,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,80.0,255,4,16,87.33317951914503,110.65059988314302,136.94771951122905,117.310746751055,144.77916130647034,169.11210819098875,28.28310049514147,45.80029413665594,0.6175309794027128,21.97855264567658,34.3246855143441,16.193013048037812,40.373187942245124,0.7450980392156863,0.6929133858267716,0.8,0.6567662311192366,0.833429847312136,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
