pair_id,concentration_wt_percent,primary_included,load_regime,source_first,source_second,timestamp_first,timestamp_second,speed_first_um_per_s,speed_second_um_per_s,delta_speed_um_per_s,same_speed_control,distance_nm,paired_pixel_count,spatial_block_count,median_raw_force_difference_pN,raw_force_difference_mad_pN,raw_force_difference_block_se_pN,raw_force_difference_block_ci95_low_pN,raw_force_difference_block_ci95_high_pN,median_linear_corrected_force_difference_pN,median_gap_speed_difference_um_per_s,theoretical_no_slip_hydrodynamic_difference_pN,viscosity_mPa_s,inference_scope
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,20.0,256,16,14.475471227573053,145.5641508965427,10.062043107778083,-14.428965473620648,38.76015000543164,5.053183503913829,-0.6642170339608688,-11.39733286749238,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,25.0,256,16,-16.82916054049815,99.81185101098102,7.784349547729809,-32.54067144255541,-0.9553945797522374,-22.060702236728048,-0.7322169565793533,-10.051317516616116,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,30.0,256,16,-29.221342337645183,70.18792269971911,5.147318789053874,-43.77677339618966,-20.273952577663593,-33.40748430655981,-0.784155196329863,-8.97023847667218,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,35.0,256,16,-41.548083512160815,53.77468330878025,5.672259620887014,-48.63814791849913,-33.26284612365107,-49.02799017624318,-0.8284329237975477,-8.122926529090623,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,40.0,256,16,-48.24976442501071,43.67678192930808,5.528693990031448,-58.52152150776669,-40.83757549944289,-51.81160191148484,-0.8621251505350949,-7.396624003671915,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,45.0,256,16,-49.841190142418554,35.637677560517005,3.584200955454973,-56.71505567627591,-45.87294120555657,-53.89968978242416,-0.8889210780214009,-6.779129177585409,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,50.0,256,16,-48.627196448182815,33.22382554458743,4.166033785027893,-57.27075012859689,-43.19581732310655,-54.21215108445094,-0.9104092849595568,-6.248703141179057,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,55.0,256,16,-47.93650767405427,29.801007203151023,3.6770022033812784,-55.23364598837634,-41.857375040018695,-47.89803494167748,-0.9272913985058813,-5.785977771814041,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,60.0,256,16,-43.51419049096438,24.196676423651507,3.0841988022009263,-49.13295907276072,-37.01824180204136,-43.59407598103715,-0.9408486649781411,-5.381356225663751,0.8806453437937073,within_area_paired_not_independent_map_replication
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,65.0,256,16,-39.89517826907817,21.450363070392605,2.9722959130982325,-44.381051115292784,-34.82793673551434,-40.15906388157808,-0.9510007067010559,-5.021005557525681,0.8806453437937073,within_area_paired_not_independent_map_replication
