concentration_wt_percent,slow_speed_um_per_s,fast_speed_um_per_s,comparison,slow_map_timestamp,fast_map_timestamp,paired_pixel_count,primary_spatial_block_size_pixels,primary_spatial_block_count,functional_test_window_nm,exact_block_sign_flip_maxT,exact_block_sign_flip_p_value,holm_adjusted_p_value_across_three_pairs,significant_at_0p05_conditional_spatial_level,fraction_distance_bins_simultaneous_ci_excludes_zero,simultaneous_exclusion_segments,block_2x2_count,block_2x2_maxT_p_value,block_2x2_test_method,block_4x4_count,block_4x4_maxT_p_value,block_4x4_test_method,block_8x8_count,block_8x8_maxT_p_value,block_8x8_test_method,inference_scope
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,255,4,16,25-250,12.774300667313822,3.0517578125e-05,9.1552734375e-05,True,0.3695652173913043,30-105 nm (positive); 115-115 nm (positive),64,2.999970000299997e-05,monte_carlo,16,3.0517578125e-05,exact,4,0.125,exact,conditional_within_area_spatial_blocks; not_independent_map_replication_or_causal_velocity_confidence
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,255,4,16,25-250,24.09232525165497,3.0517578125e-05,9.1552734375e-05,True,1.0,25-250 nm (negative),64,2.999970000299997e-05,monte_carlo,16,3.0517578125e-05,exact,4,0.125,exact,conditional_within_area_spatial_blocks; not_independent_map_replication_or_causal_velocity_confidence
0,1,4,F_4_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:15:57.076000,255,4,16,25-250,16.7398380905578,3.0517578125e-05,9.1552734375e-05,True,0.8478260869565217,25-145 nm (negative); 180-190 nm (negative); 200-250 nm (negative),64,2.999970000299997e-05,monte_carlo,16,3.0517578125e-05,exact,4,0.125,exact,conditional_within_area_spatial_blocks; not_independent_map_replication_or_causal_velocity_confidence
