pair_id,concentration_wt_percent,primary_included,load_regime,source_first,source_second,speed_first_um_per_s,speed_second_um_per_s,delta_speed_um_per_s,same_speed_control,distance_min_nm,distance_max_nm,distance_bin_count,chi_observed_over_no_slip,chi_local_se,chi_local_ci95_low,chi_local_ci95_high,hydrodynamic_term_weighted_rss_improvement_fraction,detrended_shape_sign_agreement_with_hydrodynamic_difference,null_weighted_rss,full_weighted_rss,null_linear_drift_rmse_pN,full_hydrodynamic_plus_drift_rmse_pN,force_difference_robust_scale_pN,fit_rank,optimizer_success,interpretation
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2.00068807156822,1.000167902191217,-1.000520169377003,False,25.0,250.0,46,6.449779996758322,1.288111012731051,3.9250824118054615,8.97447758171118,0.3683128131541885,0.6666666666666666,271.41177695938626,171.44734186429753,8.502825953202123,9.707281940890018,7.101079713584775,3,True,descriptive_shape_test_speed_confounded_with_map_history
c0_main_150147_2_to_151557_4,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,2.00068807156822,4.0027032818698425,2.0020152103016224,False,25.0,250.0,46,-14.597028359900667,0.8681745725879049,-16.29865052217296,-12.895406197628374,0.8679737555695547,0.0,1758.614503897842,232.18326835054273,22.499699536629535,19.7697062525091,7.349997497243267,3,True,descriptive_shape_test_speed_confounded_with_map_history
c0_main_150626_1_to_151557_4,0,True,main,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,1.000167902191217,4.0027032818698425,3.0025353796786254,False,25.0,250.0,46,-5.88374376858205,0.21275464114394949,-6.3007428652241915,-5.466744671939909,0.946769180688261,0.0,813.2023321512588,43.28742640662842,15.977467166688772,6.152800364321615,4.333171870861323,3,True,descriptive_shape_test_speed_confounded_with_map_history
c10_main_152951_2_to_153517_1,10,False,main,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,2.0006918234419464,1.000168231925071,-1.0005235915168753,False,25.0,250.0,46,0.3005838963890591,0.36861622254629944,-0.4219038998016878,1.023071692579806,0.015228238225489799,0.75,2.392558430387334,2.3561239806409917,3.9227338981236075,3.901413120251932,19.166968699076076,3,True,descriptive_shape_test_speed_confounded_with_map_history
c10_main_152951_2_to_154418_4,10,False,main,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,2.0006918234419464,4.002688814186261,2.0019969907443143,False,25.0,250.0,46,0.03271886163116483,0.13781573658683585,-0.23739998207903346,0.3028377053413631,0.0013090655713121624,0.75,21.68565662782029,21.657268681337513,3.020089737748345,3.015980094591706,11.745997429940227,3,True,descriptive_shape_test_speed_confounded_with_map_history
c10_main_153517_1_to_154418_4,10,False,main,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,1.000168231925071,4.002688814186261,3.0025205822611896,False,25.0,250.0,46,-0.11565405956874769,0.11200795073526007,-0.33518964300985743,0.10388152387236205,0.02419462038352771,0.25,2.3693932952943486,2.312066723975426,3.7693627242762524,3.7670908115602084,14.08384091272556,3,True,descriptive_shape_test_speed_confounded_with_map_history
c20_main_155406_2_to_155955_1,20,True,main,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2.000700857790752,1.00017199010353,-1.000528867687222,False,25.0,250.0,46,6.8482954281123165,0.9041345700619716,5.076191670790852,8.620399185433781,0.5715930142798634,0.9333333333333333,30.16950869933491,12.924828282539506,14.383417144306687,12.896879751801785,31.86779781539392,3,True,descriptive_shape_test_speed_confounded_with_map_history
c20_main_155406_2_to_160919_4,20,True,main,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2.000700857790752,4.00274158490682,2.0020407271160683,False,25.0,250.0,46,-4.5183162892734074,0.7414423672721405,-5.971543329126803,-3.065089249420012,0.4634141100990904,0.16666666666666666,74.17340999565091,39.80040520950137,27.360414413999006,22.60509112914042,7.5641728982117185,3,True,descriptive_shape_test_speed_confounded_with_map_history
c20_main_155955_1_to_160919_4,20,True,main,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,1.00017199010353,4.00274158490682,3.0025695948032904,False,25.0,250.0,46,-0.12561928687996465,0.3459157283724003,-0.8036141144898692,0.55237554072994,0.003057550660298114,0.5,80.96357865129097,80.71602840792562,11.816812234903562,11.984426579281102,12.44147104441299,3,True,descriptive_shape_test_speed_confounded_with_map_history
c30_low_load_162049_2_to_162444_2,30,True,low_load,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2.000701279094644,2.000698613716714,-2.6653779299223856e-06,True,25.0,250.0,46,nan,nan,nan,nan,0.0,nan,112.46073712398784,112.46073712398784,36.06417440138859,36.06417440138859,8.170253481860128,2,True,same_speed_history_control
