pair_id,concentration_wt_percent,primary_included,load_regime,source_first,source_second,timestamp_first,timestamp_second,speed_first_um_per_s,speed_second_um_per_s,delta_speed_um_per_s,same_speed_control,map_row,map_column,metric,unit,value_first,value_second,difference_second_minus_first
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,0,13,contact_invOLS_nm_per_V,nm/V,66.42478248278627,66.79493514391281,0.37015266112653933
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,0,14,contact_invOLS_nm_per_V,nm/V,66.70784798736811,66.96428794928514,0.25643996191702456
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,0,15,contact_invOLS_nm_per_V,nm/V,65.57975815331383,66.38514025273977,0.8053820994259411
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,0,contact_invOLS_nm_per_V,nm/V,65.82498011624084,66.21695384820895,0.3919737319681076
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,1,contact_invOLS_nm_per_V,nm/V,67.07457542756546,65.74789729829844,-1.326678129267023
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,2,contact_invOLS_nm_per_V,nm/V,66.25612002050083,67.94246399730568,1.6863439768048494
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,3,contact_invOLS_nm_per_V,nm/V,66.17194564260508,66.79463946519782,0.622693822592737
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,4,contact_invOLS_nm_per_V,nm/V,66.18857422246256,66.49054023164541,0.30196600918284844
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,5,contact_invOLS_nm_per_V,nm/V,66.00784887126215,66.8978421344252,0.8899932631630492
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,6,contact_invOLS_nm_per_V,nm/V,66.14972418457988,66.35410524879467,0.20438106421478608
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,7,contact_invOLS_nm_per_V,nm/V,68.42769713807878,69.28507195375967,0.8573748156808847
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,8,contact_invOLS_nm_per_V,nm/V,68.06222123795901,67.32931149715789,-0.7329097408011194
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,9,contact_invOLS_nm_per_V,nm/V,66.28861437854657,66.54326860931343,0.2546542307668602
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,10,contact_invOLS_nm_per_V,nm/V,65.56186980025,66.53870244329354,0.9768326430435508
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,11,contact_invOLS_nm_per_V,nm/V,66.38037099580953,65.94701830318648,-0.4333526926230462
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,12,contact_invOLS_nm_per_V,nm/V,65.92345625717262,66.64521069545765,0.721754438285032
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,13,contact_invOLS_nm_per_V,nm/V,66.48609098639623,66.82741307390611,0.34132208750988013
c0_main_150147_2_to_150626_1,0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:01:47.915000,2026-08-20T15:06:26.277000,2.00068807156822,1.000167902191217,-1.000520169377003,False,1,14,contact_invOLS_nm_per_V,nm/V,65.59527437929641,66.10571274969001,0.5104383703936008
