concentration_wt_percent,primary_included,load_regime,source,timestamp,speed_um_per_s,distance_nm,approach_valid_pixel_count,paired_free_branch_pixel_count,paired_free_branch_support_fraction,spatial_block_count,even_conservative_candidate_pN,even_spatial_mad_pN,odd_dissipative_candidate_pN,odd_spatial_mad_pN,theoretical_no_slip_odd_pN,qualified_50pct_support,branch_processing
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,110.0,256,3,0.01171875,2,40.73375656392465,25.962820280481722,46.235198883435494,4.272664788458515,6.226115708494149,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,115.0,256,4,0.015625,3,23.864998835372578,31.948713510314377,27.93244042910309,26.498577578447314,5.9550188746711035,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,120.0,256,4,0.015625,3,10.972722727623168,34.98654946023733,26.7989033941505,23.037625452194437,5.7077857186414285,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,125.0,256,5,0.01953125,4,-14.462761696896674,23.503391432825577,27.89685499513346,21.413025202965457,5.482194691553923,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,130.0,256,5,0.01953125,4,-16.981743155532897,20.395378214450567,19.37703775395468,10.674024934485074,5.273996484220218,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,135.0,256,6,0.0234375,4,-5.016159760282621,28.52656239064737,17.013028776141546,26.497222905971306,5.080851008770322,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,140.0,256,6,0.0234375,4,-3.3894253208844702,27.67100516553744,11.903805646468667,37.05429448019971,4.900316119196413,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,145.0,256,6,0.0234375,4,-10.781020129090482,26.243746200726434,10.018006861904864,32.04434249126919,4.732036693062121,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,150.0,256,7,0.02734375,5,-3.4082672149719806,24.833163835380095,8.160122255947867,35.71869605385987,4.5750314947938975,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,155.0,256,7,0.02734375,5,-3.643774290371515,20.702592407921127,9.333346630016777,31.347831709813768,4.427440931542511,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,160.0,256,7,0.02734375,5,1.177309154756772,24.241722582513496,4.856713073804926,29.29742223286487,4.290332640165474,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,165.0,256,7,0.02734375,5,-2.096391647090583,29.59732038174142,5.594582228121581,37.548508709498726,4.159684337321294,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,170.0,256,7,0.02734375,5,-7.59085151107187,30.67347699743491,11.960000390697067,32.486261303914986,4.0376022861773055,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,175.0,256,8,0.03125,6,-2.4465282537210093,25.74993119697739,0.37924419192067393,29.154521574035552,3.922646467629217,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,180.0,256,9,0.03515625,6,-8.251489607791427,28.566710383326352,-11.948024428736307,37.905511952766474,3.8144482877892543,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,185.0,256,9,0.03515625,6,-17.42745014708883,19.393837739805058,-12.05132806673333,26.165659526901884,3.711397453440604,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,190.0,256,9,0.03515625,6,-8.806899335548215,19.663278733460974,-12.042422117227442,31.927390817165705,3.6135806789748486,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,195.0,256,9,0.03515625,6,-10.186324729428346,21.69884755259035,-9.437109974001245,23.345037451567652,3.5210129768231515,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,200.0,256,9,0.03515625,6,-9.331605133026292,17.01368587622963,-8.097293315251699,18.34547169189578,3.4325373061759974,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,205.0,256,9,0.03515625,6,-10.805847301168761,24.428020792737605,-6.389465864578566,19.23367811552202,3.3493038544400484,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,210.0,256,10,0.0390625,7,-3.993417082520557,26.647487871512645,-15.529790510084482,20.366966299355397,3.2695188671667954,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,215.0,256,11,0.04296875,8,-11.793840510783827,28.804743051547245,-16.00498914593774,17.44756959464004,3.1937539853571613,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,220.0,256,14,0.0546875,9,-1.7366744129817717,25.409048968531707,-7.506604669412227,25.057889445108906,3.1211332364707713,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,225.0,256,14,0.0546875,9,-4.385591343356008,21.072754512026584,-9.6720122785642,17.261131951932853,3.052044667722024,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,230.0,256,14,0.0546875,9,-2.2903850190707455,22.406966073673473,-7.545737090814039,17.603959305488395,2.9861535900377802,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,235.0,256,15,0.05859375,9,0.7903754811802752,23.146741066678437,-0.6243559705937298,24.070895524591354,2.9227809021724394,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,240.0,256,15,0.05859375,9,1.0747908063609568,18.361069081560718,-8.293278249444874,22.313134667875318,2.86141641010587,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,245.0,256,16,0.0625,9,-1.4379668733936528,26.687005328478783,-13.27964438500844,14.026295548306527,2.803341362288179,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,250.0,256,16,0.0625,9,1.1489812425966044,24.66817824134369,-6.401305014142378,18.837707589453128,2.7471920979105526,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,255.0,256,18,0.0703125,10,4.163648254061951,15.108403749856947,-9.062932879158605,23.1166902229551,2.69343768040352,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,260.0,256,18,0.0703125,10,5.63933238953485,19.34791889201928,-0.9102097517881864,26.00815230662922,2.641745769656147,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,265.0,256,20,0.078125,11,3.7414909743138374,21.670854364415355,-7.067437758837398,27.369358453548095,2.5916676909397127,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,270.0,256,23,0.08984375,11,-2.0323148090374836,20.09560263071305,-2.895465740242268,26.605954686255977,2.5436761773623613,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,275.0,256,25,0.09765625,11,0.9164796880354995,19.017441832246256,1.7453540031824608,23.194007971738536,2.497441241915115,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,280.0,256,29,0.11328125,13,-0.9269921239695016,23.418977885169998,3.322623877633223,28.650848068251346,2.4525834171973204,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,285.0,256,30,0.1171875,13,-2.4081919644096237,18.867100208243322,-3.9430166262672577,18.75029729255489,2.4094759709967777,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,290.0,256,33,0.12890625,13,1.7426248948109517,19.69200989173782,-3.223772733084324,18.28445705575464,2.368035402027326,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,295.0,256,38,0.1484375,13,2.6064648695405253,17.03397972306231,-2.088099730806994,20.718867485989907,2.3280045423381783,False,per_branch_far_linear_corrected_free_retract_only
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,300.0,256,40,0.15625,13,3.195027300409717,16.48139497655727,-0.4224413709661192,18.6589752686994,2.2890745619001036,False,per_branch_far_linear_corrected_free_retract_only
