concentration_wt_percent,load_regime,variant,velocity_model,scale_mode,contact_shift_nm,excluded_speed_label_um_per_s,source,map_intercept_pN_at_window_center,map_linear_slope_pN_per_nm,fitted_map_force_scale,contact_response_constraint_center,contact_response_constraint_sigma
40,main,M2_dmax350,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,-43.812840964153985,-0.000488283364906189,0.9349696657018094,0.9643604190308408,0.02
40,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,71.75431020108738,-0.6308231227937613,1.0,1.0077655023974126,0.02
40,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,-119.28052160409561,0.1722331269283897,1.0,1.0039848387362662,0.02
40,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,-6.170788331131312,-0.19469339462775828,1.0,0.9643604190308408,0.02
40,main,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,-2.5,nan,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,75.88600854878649,-0.5367110783420992,1.0134885610153535,1.0077655023974126,0.02
40,main,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,-2.5,nan,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,-112.3691505568936,0.11357154848236112,0.9403779627919407,1.0039848387362662,0.02
40,main,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,-2.5,nan,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,19.355850147756765,-0.32938146182804845,0.9805670945364132,0.9643604190308408,0.02
40,main,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,2.5,nan,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,102.91317474048749,-0.6651410873110492,0.9872847383599405,1.0077655023974126,0.02
40,main,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,2.5,nan,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,-103.35263196718533,0.09035140634021874,0.919104338919933,1.0039848387362662,0.02
40,main,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,2.5,nan,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,73.77544924112735,-0.5660850717956247,0.9944969051633789,0.9643604190308408,0.02
40,main,M2_leave_out_1um_s,M2_fitted_chi,contact_constrained,0.0,1.0,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,148.82393990761923,-0.7186385848362351,0.8737765314738406,1.0077655023974126,0.02
40,main,M2_leave_out_1um_s,M2_fitted_chi,contact_constrained,0.0,1.0,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,218.23712490584197,-1.1520630340491003,0.9735903084365962,0.9643604190308408,0.02
40,main,M2_leave_out_2um_s,M2_fitted_chi,contact_constrained,0.0,2.0,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,-115.71315178231538,1.574861871781409e-05,0.9876103058616394,1.0039848387362662,0.02
40,main,M2_leave_out_2um_s,M2_fitted_chi,contact_constrained,0.0,2.0,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,-39.80584099993058,-0.15678154120771712,0.9641416703786828,0.9643604190308408,0.02
40,main,M2_leave_out_4um_s,M2_fitted_chi,contact_constrained,0.0,4.0,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,-153.39652778436334,0.5259009057126138,0.9534203803071923,1.0077655023974126,0.02
40,main,M2_leave_out_4um_s,M2_fitted_chi,contact_constrained,0.0,4.0,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,-227.35242572986513,0.5560415216741983,1.049337319395274,1.0039848387362662,0.02
