block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
1,0.1,20.0,1,8,758.1496310516037,679.0351134828907,718.5923722672471,39.55725878435652
1,0.1,25.0,1,8,599.8231783002876,550.7252641995503,575.274221249919,24.548957050368642
1,0.1,30.0,1,8,517.0639994005332,458.7316410461171,487.8978202233252,29.16617917720808
1,0.1,35.0,1,8,441.58155177058893,395.1599546647406,418.37075321766474,23.21079855292416
1,0.1,40.0,1,8,378.6201005885938,318.0362687550934,348.3281846718436,30.291915916750213
1,0.1,45.0,1,8,322.20392019117196,272.62758288698745,297.4157515390797,24.788168652092253
1,0.1,50.0,1,8,275.8467214297426,236.58866560423286,256.21769351698777,19.62902791275488
1,0.1,55.0,1,8,244.63746459935248,197.32259104996075,220.98002782465662,23.657436774695867
1,0.1,60.0,1,8,212.14696733486952,171.44958283177664,191.79827508332306,20.34869225154644
1,0.1,65.0,1,8,180.70902762616214,146.86318295702193,163.78610529159204,16.922922334570103
1,0.1,70.0,1,8,155.36633240167924,130.98977801969846,143.17805521068885,12.18827719099039
1,0.1,75.0,1,8,143.83677555412442,115.4964674527547,129.66662150343956,14.170154050684857
1,0.1,80.0,1,8,133.09099974021774,96.26480565569898,114.67790269795836,18.41309704225938
1,0.1,85.0,1,8,119.74337838965647,86.87581862951197,103.30959850958422,16.43377988007225
1,0.1,90.0,1,8,107.5976385666354,76.01667058229805,91.80715457446672,15.790483992168674
1,0.1,95.0,1,8,94.15846454016501,68.7015355660615,81.43000005311325,12.72846448705176
1,0.1,100.0,1,8,84.0879021368057,60.91385885197988,72.50088049439279,11.587021642412907
1,0.1,105.0,1,8,77.94852150914751,52.88388067478174,65.41620109196462,12.532320417182884
1,0.1,110.0,1,8,81.21534166631915,42.31619022340615,61.76576594486265,19.449575721456497
1,0.1,115.0,1,8,72.04663773439444,43.204943706304206,57.62579072034932,14.420847014045115
1,0.1,120.0,1,8,74.59684199511457,41.50639802414597,58.05162000963027,16.5452219854843
1,0.1,125.0,1,8,61.378911984948104,39.75768558435954,50.56829878465382,10.81061320029428
1,0.1,130.0,1,8,61.055213797846825,35.399738448770876,48.22747612330885,12.827737674537975
1,0.1,135.0,1,8,57.1138097997393,28.463869421843818,42.788839610791555,14.324970188947741
1,0.1,140.0,1,8,50.47907385955244,30.136569614601946,40.30782173707719,10.171252122475249
1,0.1,145.0,1,8,44.26979443716475,22.77590677473205,33.5228506059484,10.746943831216349
1,0.1,150.0,1,8,47.274663932229814,20.40653810169811,33.84060101696396,13.434062915265852
1,0.1,155.0,1,8,47.235961968617,21.730638972377527,34.48330047049726,12.752661498119735
1,0.1,160.0,1,8,40.87064868779463,22.345248023810285,31.607948355802456,9.262700331992171
1,0.1,165.0,1,8,31.760295918474768,20.589958238323863,26.175127078399314,5.585168840075452
1,0.1,170.0,1,8,39.470651543438365,12.716577218689485,26.093614381063926,13.377037162374439
1,0.1,175.0,1,8,32.807386159185626,15.500302103178864,24.153844131182247,8.65354202800338
1,0.1,180.0,1,8,29.64707924005485,13.779704916924207,21.713392078489527,7.933687161565322
1,0.1,185.0,1,8,26.27101218730814,7.244142758496016,16.757577472902078,9.513434714406063
1,0.1,190.0,1,8,28.392363567839624,7.3242472080126495,17.858305387926137,10.534058179913487
1,0.1,195.0,1,8,22.330999869397942,8.943732200803488,15.637366035100715,6.693633834297227
1,0.1,200.0,1,8,24.26573356237126,14.151432638492084,19.20858310043167,5.057150461939588
1,0.1,205.0,1,8,25.68334208828685,8.247726425384982,16.965534256835916,8.717807831450934
1,0.1,210.0,1,8,18.351656018261462,13.167614143945297,15.75963508110338,2.5920209371580825
1,0.1,215.0,1,8,17.065660676824244,4.297591290793285,10.681625983808765,6.384034693015479
1,0.1,220.0,1,8,17.506773596855986,1.7537655643167103,9.630269580586347,7.876504016269638
1,0.1,225.0,1,8,17.098928460614513,4.05315260451617,10.576040532565342,6.522887928049171
1,0.1,230.0,1,8,13.928482157182962,1.6949339406907122,7.811708048936837,6.116774108246125
1,0.1,235.0,1,8,9.159194117235764,0.27396218762978614,4.716578152432775,4.442615964802989
1,0.1,240.0,1,8,13.136533286180725,7.145499140623594,10.14101621340216,2.995517072778566
1,0.1,245.0,1,8,7.928865983735309,4.441663326572495,6.185264655153903,1.743601328581407
1,0.1,250.0,1,8,11.995786281642687,3.9991918615849533,7.9974890716138205,3.9982972100288667
1,0.1,255.0,1,8,12.729400557660995,6.027267533579872,9.378334045620434,3.3510665120405614
1,0.1,260.0,1,8,13.15691146051544,1.2633308353485933,7.210121147932017,5.946790312583423
1,0.1,265.0,1,8,14.060791181759836,-0.36732073427363826,6.8467352237430985,7.214055958016737
1,0.1,270.0,1,8,8.53489300727788,-3.3922039160010957,2.571344545638392,5.963548461639488
1,0.1,275.0,1,8,3.772364556865848,1.5957932941755604,2.684078925520704,1.088285631345144
1,0.1,280.0,1,8,9.738746081765091,5.304405643857184,7.5215758628111375,2.217170218953954
1,0.1,285.0,1,8,8.874164758504783,1.5536949681735726,5.213929863339178,3.660234895165605
1,0.1,290.0,1,8,8.91487140430779,-1.9154158464097597,3.4997277789490155,5.415143625358775
