first_block,second_block,pearson_shape_correlation,least_squares_scale_second_over_first,scaled_shape_normalized_rmse,first_interaction_rms_pN,second_interaction_rms_pN
1,2,0.9994026969770108,0.9264096146840098,0.034557911902743293,273.8296573938105,253.83004084597727
1,3,0.9972181397122235,0.8994234206895154,0.07453845872362143,273.8296573938105,246.97585947489188
1,4,0.9986071432554646,0.8938855149794215,0.05276147684779426,273.8296573938105,245.1137726875713
2,3,0.9982039455180157,0.971249409856631,0.05990728797289676,253.83004084597727,246.97585947489188
2,4,0.9988406152990897,0.9645414337623502,0.048139643007984546,253.83004084597727,245.1137726875713
3,4,0.9982152494954293,0.9906891559292826,0.059718637583079784,246.97585947489188,245.1137726875713
