block,distance_nm,speed_intercept_pN,speed_slope_pN_per_um_s,distance_times_speed_slope_pN_nm_per_um_s,speed_linear_r2
1,20.0,831.0099722259291,1046.718575905967,20934.37151811934,0.9683502415578612
1,25.0,667.3570093694418,950.0040060733569,23750.10015183392,0.9728526512342831
1,30.0,556.4081226386311,856.7947786682514,25703.843360047544,0.9774586124199581
1,35.0,470.9069668935377,779.4679678031144,27281.378873109006,0.9801101517219443
1,40.0,407.0922909996722,704.2306903988264,28169.227615953056,0.9740145234268859
1,45.0,338.9482731519839,646.4552705863507,29090.48717638578,0.9789797214309162
1,50.0,290.25605542615966,590.8947551733684,29544.73775866842,0.9803875975472895
1,55.0,252.9997271334471,550.8265917720911,30295.46254746501,0.9814240430072009
1,60.0,222.90058229635696,509.327242679154,30559.63456074924,0.9810124513524373
1,65.0,192.4151308225595,470.15983126888,30560.3890324772,0.9796712561922432
1,70.0,171.50754652899744,437.4130970021067,30618.916790147472,0.9795726898664248
1,75.0,150.74067636937443,407.60673329684835,30570.504997263626,0.9800792861404952
1,80.0,137.89841973870767,376.0768282995648,30086.146263965184,0.9815470717584531
1,85.0,122.94358724154961,349.7725842249796,29730.669659123265,0.9777635223476655
1,90.0,108.99835176753353,329.9267952181471,29693.41156963324,0.9808189719115248
1,95.0,105.76170894105834,306.2771416753093,29096.32845915438,0.97594232894168
1,100.0,96.48625371014997,287.199005714382,28719.9005714382,0.9742375851771724
1,105.0,90.96745170432146,268.187114401493,28159.64701215676,0.9700531407725554
1,110.0,79.28328048846546,252.65255992445148,27791.78159168966,0.9764390340713351
1,115.0,74.29460193485906,237.610928278093,27325.256751980698,0.9780000273724231
1,120.0,70.71740563468418,221.40165248830456,26568.198298596548,0.977511848194444
1,125.0,65.5480521401495,206.5427812322194,25817.847654027424,0.9765219541014827
1,130.0,60.814429849958415,191.0755938595666,24839.827201743657,0.9771566408763485
1,135.0,58.90445163495893,178.6795987345178,24121.745829159903,0.9751854179147448
1,140.0,56.98011067283142,163.96371689904544,22954.92036586636,0.9688507955615188
1,145.0,57.197534964849126,152.8687814224341,22165.973306252945,0.9496065292022094
1,150.0,52.83033688365562,142.31938576700043,21347.907865050063,0.9562631067700484
