source,map_order,relative_time_min,point_index,row,column,fit_variant,baseline_method,include_fixed_two_sphere_hydrodynamics,gap_speed_um_per_s,fit_min_nm,fit_max_nm,fit_success,solver_status,solver_message,fit_status,n_distance_bins,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rmse_pN,r2,far_noise_scale_pN,ordinary_reduced_chi2_diagnostic,soft_l1_cost,optimality,nfev,lambda_boundary,zeta_boundary,baseline_boundary,dimensionless_potential_epsi_over_kT,reference_25mV_ceiling_satisfied
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,0,0,0,far_linear_fixed_two_sphere_hydrodynamics,linear_drift_corrected,True,1.9873765779279413,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.883925549632,49.07064187265354,-49.07064187265354,-36.2617099888565,13.937433915600078,0.9925429909757246,18.919491558670824,0.5905674783670491,7.481385345979874,1.6227700768674912e-05,20,False,False,False,1.906079172710635,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,0,0,0,far_linear_no_hydrodynamics,linear_drift_corrected,False,1.9873765779279413,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.901435887783503,49.329524267614175,-49.329524267614175,-35.136000810567104,14.151840432207115,0.9923117964602998,18.919491558670824,0.6088772271607344,7.656107163855337,1.527654344215784e-05,26,False,False,False,1.9161350905137176,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,0,0,0,far_constant_fixed_two_sphere_hydrodynamics,far_constant_referenced,True,1.9873765779279413,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.916156684948437,49.098133977903196,-49.098133977903196,-28.69002407883319,13.996037898233597,0.9924957918619519,18.919491558670824,0.5955443441974654,7.532902605486811,2.3615820913817195e-05,16,False,False,False,1.9071470643711175,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,1,0,1,far_linear_fixed_two_sphere_hydrodynamics,linear_drift_corrected,True,1.9894308547195738,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,22.83674658354116,47.432220423191495,-47.432220423191495,-41.69872448798178,12.05910610763727,0.9935136025934319,23.040956758863135,0.2980931678225346,4.452033209570457,6.9743206439910505e-06,12,False,False,False,1.8424370257616185,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,1,0,1,far_linear_no_hydrodynamics,linear_drift_corrected,False,1.9894308547195738,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,22.862719321907587,47.70755055583383,-47.70755055583383,-40.58904228265391,12.206249131902569,0.9933543451821708,23.040956758863135,0.3054121067105461,4.544223366010686,1.0257840721694456e-05,21,False,False,False,1.8531318325018924,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,1,0,1,far_constant_fixed_two_sphere_hydrodynamics,far_constant_referenced,True,1.9894308547195738,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.130990996320833,47.676544142278196,-47.676544142278196,8.475078258157996,12.273861565052718,0.993400788889635,23.040956758863135,0.30880493383602015,4.583895360945435,2.940008909921999e-05,29,False,False,False,1.8519274325420911,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,2,0,2,far_linear_fixed_two_sphere_hydrodynamics,linear_drift_corrected,True,1.991541284424673,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.687865661095373,40.58586919547026,-40.58586919547026,29.125545521872525,10.869341564251762,0.9902251024527648,18.6519980072504,0.36955455466865356,5.2904090681733065,1.2093431830934388e-05,20,False,False,False,1.5765002663019108,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,2,0,2,far_linear_no_hydrodynamics,linear_drift_corrected,False,1.991541284424673,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.715290598390737,40.90515249829049,-40.90515249829049,30.23448516970057,11.060302560375412,0.9898786194004459,18.6519980072504,0.3826538623065329,5.4454442342051586,1.3860788963408735e-05,21,False,False,False,1.5889023713177624,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,2,0,2,far_constant_fixed_two_sphere_hydrodynamics,far_constant_referenced,True,1.991541284424673,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.6011411165269,40.52807527550369,-40.52807527550369,19.409712343977354,10.787528175348985,0.9903223664261811,18.6519980072504,0.36401222757453955,5.222959333724333,1.3384455091592533e-05,30,False,False,False,1.5742553438196765,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,3,0,3,far_linear_fixed_two_sphere_hydrodynamics,linear_drift_corrected,True,1.9919697346896363,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.604765073594752,36.56606416390155,-36.56606416390155,-11.308656155861588,8.593253038151714,0.9907066502574606,22.76261257644716,0.1550935704880302,2.368096555571076,5.177150770844955e-06,13,False,False,False,1.4203566668577692,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,3,0,3,far_linear_no_hydrodynamics,linear_drift_corrected,False,1.9919697346896363,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.610671865705342,36.92731262564238,-36.92731262564238,-10.170649641753723,8.627301527075833,0.9906328594849714,22.76261257644716,0.15632503973125028,2.384590996308018,7.531815191344458e-07,18,False,False,False,1.4343888486842244,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,3,0,3,far_constant_fixed_two_sphere_hydrodynamics,far_constant_referenced,True,1.9919697346896363,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,23.77319727807417,36.69652121076195,-36.69652121076195,8.780105900783415,8.551628730963378,0.990905468958843,22.76261257644716,0.1535947138134315,2.3436270786758318,3.7810967174446207e-06,19,False,False,False,1.4254240849812014,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,4,0,4,far_linear_fixed_two_sphere_hydrodynamics,linear_drift_corrected,True,1.993007923358745,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,19.938911152947608,38.076780804582064,-38.076780804582064,-95.45671901956115,7.306633667488441,0.9943588964170812,21.68989987927271,0.12349301101639554,1.9712748786026808,1.938866693633739e-06,12,False,False,False,1.4790383024504195,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,4,0,4,far_linear_no_hydrodynamics,linear_drift_corrected,False,1.993007923358745,20.0,200.0,True,2,`ftol` termination condition is satisfied.,interior_solution,37,19.995235800790915,38.41248846893735,-38.41248846893735,-94.27891985361812,7.349168721571777,0.99429302666984,21.68989987927271,0.12493500783530506,1.9925574879895727,6.063667661285639e-07,13,False,False,False,1.4920783883903497,False
