analysis_variant,parameter,parameter_label,unit,usable_map_count,global_spearman_rho_speed,global_spearman_rho_elapsed_time,same_speed_time_rho_median,same_speed_time_rho_min,same_speed_time_rho_max,speed_fixed_effect_log_time_slope_per_hour,speed_fixed_effect_percent_change_per_hour,speed_fixed_effect_percent_change_ci95_low,speed_fixed_effect_percent_change_ci95_high,time_model_note
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,31,0.9684540390779791,-0.0076612903225806465,-0.23809523809523814,-0.8095238095238096,0.28571428571428575,-0.0516401981738317,-5.032950144101396,-13.905531619501463,4.754007173538544,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,31,0.9684540390779791,-0.14233870967741935,-0.7976190476190477,-1.0,-0.5714285714285715,-0.08385393719449707,-8.04344393879345,-9.784069274960563,-6.2692349934283,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,25,-0.30371664959446826,-0.5930769230769232,-0.8904761904761904,-1.0,-0.261904761904762,-0.3391728791540393,-28.764071362743476,-40.965437636229,-14.040905435312991,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,25,0.41375891394029,-0.4230769230769231,-0.5023809523809524,-0.6428571428571429,0.7999999999999999,-0.08808247874785366,-8.431465097236218,-15.113462932633363,-1.2234816743151262,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,28,-0.20266083131290438,-0.6535303776683087,-0.911904761904762,-1.0,-0.14285714285714288,-0.5066441155820178,-39.74858422673874,-57.55398862209137,-14.474105226014716,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,28,0.5711865329461467,-0.3984674329501916,-0.5,-0.7142857142857143,0.48571428571428577,-0.08576668211920851,-8.2191652660806,-14.789386963977247,-1.142342199863051,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,27,0.10254756186080387,0.6373626373626373,0.6250000000000001,0.4285714285714286,0.8857142857142858,0.5555924679714273,74.29733348026363,41.44601996994655,114.77847496016547,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,27,0.1871098590260206,-0.5061050061050061,-0.6726190476190477,-0.8285714285714287,-0.14285714285714288,-0.17672780791056542,-16.19921474092169,-23.851845339155176,-7.777520790675922,OLS log(parameter) on elapsed hours plus speed categorical effects; HC3 interval is descriptive under serial acquisition
