analysis_variant,acquisition_order,block,speed_um_per_s,distance_nm,available_pixels,original_map_median_force_pN,empirical_hyd_full_model_pN,empirical_hyd_reference_value_pN,empirical_hyd_shape_correction_pN,full_model_corrected_map_median_force_pN,full_model_corrected_map_force_q25_pN,full_model_corrected_map_force_q75_pN,pb_fit_gauge_centered_map_median_force_pN,pb_fit_gauge_centered_map_force_q25_pN,pb_fit_gauge_centered_map_force_q75_pN,map_force_spatial_mad_pN,hyd_reference_distance_nm,hyd_coefficient_pN_nm_per_um_s_to_alpha,hyd_velocity_exponent_alpha,hyd_distance_shift_D0_nm
shared_empirical_20_200,1,1,0.1,5.0,64,1571.106444812192,592.3960176884482,87.50992934265824,504.88608834579,978.7104271237438,97.87463534865003,2574.017469894735,1066.220356466402,185.38456469130827,2661.527399237393,1600.6033015719845,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,10.0,64,797.5476501427823,529.9924172899396,87.50992934265824,442.48248794728136,267.5552328528428,-84.25473686396282,810.3453270887114,355.065162195501,3.2551924786954203,897.8552564313696,663.2648378933274,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,15.0,64,885.3258242723703,479.4831712408546,87.50992934265824,391.9732418981963,405.8426530315157,100.36683651475772,554.4751336979257,493.35258237417395,187.87676585741596,641.9850630405839,292.9068603138495,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,20.0,64,758.1496310516037,437.76350874532113,87.50992934265824,350.2535794026629,320.3861223062826,107.2144310196062,422.95285352329165,407.8960516489408,194.72436036226443,510.46278286594986,224.44735631441074,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,25.0,64,599.8231783002876,402.72274408410584,87.50992934265824,315.2128147414476,197.10043421618178,62.95386989690331,322.62086763707913,284.61036355884005,150.46379923956155,410.1307969797374,189.21146062059853,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,30.0,64,517.0639994005332,372.875905354211,87.50992934265824,285.3659760115528,144.18809404632225,13.654124426846465,232.37207549471805,231.6980233889805,101.1640537695047,319.88200483737626,150.02659554305671,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,35.0,64,441.58155177058893,347.14786654720115,87.50992934265824,259.63793720454294,94.43368522338778,-4.7838184875564025,141.77249070190572,181.94361456604602,82.72611085510184,229.28242004456396,120.16234263649197,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,40.0,64,378.6201005885938,324.74107927596276,87.50992934265824,237.23114993330452,53.87902131263104,-29.762284021458754,101.29044267578644,141.38895065528928,57.747645321199485,188.80037201844468,86.96992953835085,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,45.0,64,322.20392019117196,305.05142253267707,87.50992934265824,217.54149319001883,17.152497658494894,-57.113190719884415,62.63190241858803,104.66242700115313,30.396738622773825,150.14183176124627,84.88117704709036,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,50.0,64,275.8467214297426,287.6129155395504,87.50992934265824,200.10298619689215,-11.76619410980777,-78.03885010673184,27.29591645729039,75.74373523285047,9.471079235926396,114.80584579994863,73.60374109305023,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,55.0,64,244.63746459935248,272.06036837528717,87.50992934265824,184.55043903262893,-27.422903775934685,-71.8002717789131,-4.569361127277261,60.087025566723554,15.70965756374514,82.94056821538098,52.19481407860074,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,60.0,64,212.14696733486952,258.10352885621137,87.50992934265824,170.59359951355313,-45.956561521341854,-105.84044448552748,-14.14942893714138,41.553367821316385,-18.330515142869245,73.36050040551686,64.09200300910982,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,65.0,64,180.70902762616214,245.50879877660103,87.50992934265824,157.9988694339428,-64.79977115043889,-90.89267312378124,-27.374790092933324,22.710158192219353,-3.382743781122997,60.135139249724915,46.65921222837799,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,70.0,64,155.36633240167924,234.0860542605613,87.50992934265824,146.57612491790306,-78.71972185888205,-104.23645994627296,-38.03062945030467,8.790207483776186,-16.72653060361472,49.479299892353566,42.99095058572025,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,75.0,64,143.83677555412442,223.6789817839029,87.50992934265824,136.16905244124467,-79.8422062297785,-99.92292548883466,-53.72997812605996,7.667723112879742,-12.412996146176425,33.77995121659828,34.1130401663513,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,80.0,64,133.09099974021774,214.15788233216995,87.50992934265824,126.64795298951171,-81.06688259195221,-113.44269049722692,-59.52780674212394,6.443046750706031,-25.93276115456868,27.982122600534296,42.11161418190734,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,85.0,64,119.74337838965647,205.4142383108936,87.50992934265824,117.90430896823537,-85.67085992123714,-108.25157526433262,-63.69030666370696,1.839069421421101,-20.741645921674376,23.819622678951276,33.43089677490858,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,90.0,64,107.5976385666354,197.3565591820207,87.50992934265824,109.84662983936246,-89.7589206153853,-111.86495703747248,-63.142481805498335,-2.248991272727068,-24.35502769481424,24.367447537159904,37.2048536756899,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,95.0,64,94.15846454016501,189.9071679602651,87.50992934265824,102.39723861760686,-95.74870342010009,-111.58679447238961,-68.02578773056092,-8.238774077441846,-24.076865129731374,19.484141612097318,37.29436181433881,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,100.0,64,84.0879021368057,182.9996890165987,87.50992934265824,95.48975967394045,-98.911786879793,-119.08007430180928,-74.6949360843906,-11.40185753713476,-31.570144959151037,12.814993258267634,35.40992565054155,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,105.0,64,77.94852150914751,176.57706489555622,87.50992934265824,89.06713555289798,-98.62854338640871,-125.56597157729799,-73.28724812593495,-11.118614043750469,-38.05604223463975,14.222681216723288,41.30270034491934,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,110.0,64,81.21534166631915,170.58997658776525,87.50992934265824,83.08004724510701,-89.3746349214461,-115.89706904745617,-62.620113270920086,-1.8647055787878628,-28.38713970479793,24.889816071738153,39.769369925866904,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,115.0,64,72.04663773439444,164.99557464009848,87.50992934265824,77.48564529744024,-92.94893690570404,-115.17746603668402,-71.39966368489847,-5.439007563045806,-27.667536694025785,16.11026565775977,32.32317215123887,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,120.0,64,74.59684199511457,159.75645201301873,87.50992934265824,72.24652267036049,-85.15961001790416,-107.16354847305483,-67.0129203279115,2.350319324754082,-19.653619130396592,20.497009014746737,31.609882678618078,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,125.0,64,61.378911984948104,154.83980660523935,87.50992934265824,67.3298772625811,-93.46089462029124,-112.90477936379321,-78.49556101243004,-5.950965277633003,-25.39485002113497,9.014368330228194,27.93454684717784,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,130.0,64,61.055213797846825,150.2167538054142,87.50992934265824,62.706824462755975,-89.1615400075674,-114.79536975927189,-75.97994279115187,-1.6516106649091569,-27.285440416613653,11.529986551506369,30.405551164359732,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,135.0,64,57.1138097997393,145.86175862439399,87.50992934265824,58.351829281735746,-88.74794882465469,-118.03365510652375,-67.03447390805887,-1.2380194819964458,-30.523725763865514,20.47545543459937,39.48269333800359,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,140.0,64,50.47907385955244,141.75216382411696,87.50992934265824,54.24223448145872,-91.27308996456452,-114.34618673214308,-67.91498040587625,-3.7631606219062803,-26.836257389484842,19.59494893678199,34.37969778248168,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,145.0,64,44.26979443716475,137.86779562927896,87.50992934265824,50.35786628662072,-93.59800119211421,-114.45980924633733,-68.31097317556711,-6.088071849455972,-26.94987990367909,19.198956167091126,37.106208043195,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,150.0,64,47.274663932229814,134.19063253695057,87.50992934265824,46.680703194292335,-86.91596860472076,-110.90991033786733,-66.1362945336342,0.5939607379374792,-23.39998099520909,21.37363480902404,34.406815506155816,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,155.0,64,47.235961968617,130.70452574969593,87.50992934265824,43.19459640703769,-83.46856378107893,-111.55250450875678,-63.16150596213426,4.041365561579312,-24.042575166098544,24.348423380523982,34.84956638407692,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,160.0,64,40.87064868779463,127.39496208209675,87.50992934265824,39.885032739438515,-86.52431339430213,-103.1278699747697,-63.62023950034531,0.9856159483561129,-15.617940632111456,23.889689842312926,27.988880547147705,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,165.0,64,31.760295918474768,124.24886199832696,87.50992934265824,36.73893265566872,-92.48856607985219,-110.68615978662616,-72.4431192867768,-4.978636737193952,-23.176230443967924,15.066810055881433,28.98393397653099,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,170.0,64,39.470651543438365,121.25440685405552,87.50992934265824,33.74447751139728,-81.78375531061715,-98.25698269726715,-65.17304980151201,5.7261740320410865,-10.747053354608909,22.33687954114623,24.510737728077626,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,175.0,64,32.807386159185626,118.40089053175781,87.50992934265824,30.89096118909957,-85.59350437257218,-116.05184204638336,-67.05928973399936,1.9164249700860552,-28.541912703725117,20.450639608658875,33.50434060985775,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,180.0,64,29.64707924005485,115.67859154342595,87.50992934265824,28.168662200767713,-86.0315123033711,-100.70947223407218,-72.03041426155033,1.4784170392871374,-13.199542891413941,15.479515081107905,21.126229657778563,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,185.0,64,26.27101218730814,113.07866238057896,87.50992934265824,25.568733037920722,-86.80765019327082,-100.14808947995252,-67.8693595523265,0.7022791493874223,-12.638160137294278,19.64056979033174,22.484473904411093,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,190.0,64,28.392363567839624,110.59303345773259,87.50992934265824,23.08310411507435,-82.20066988989296,-98.90157781376368,-59.524259965536444,5.309259452765275,-11.39164847110544,27.985669377121795,31.114861405788634,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,195.0,64,22.330999869397942,108.21432945213195,87.50992934265824,20.70440010947371,-85.883329582734,-104.39677670787187,-60.38151892223301,1.6265997599242326,-16.886847365213626,27.128410420425226,35.70269390096933,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,200.0,64,24.26573356237126,105.93579621265938,87.50992934265824,18.425866870001144,-81.67006265028812,-99.58941972310765,-61.62261117502172,5.839866692370123,-12.079490380449414,25.887318167636522,28.873252397838797,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,205.0,64,25.68334208828685,103.75123671224853,87.50992934265824,16.241307369590288,-78.06789462396168,-97.49242838565739,-64.52455167787825,9.442034718696561,-9.982499042999152,22.98537766477999,26.299647780124893,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,210.0,64,18.351656018261462,101.65495476474362,87.50992934265824,14.145025422085382,-83.30329874648216,-98.78445696312251,-59.72300081706962,4.206630596176083,-11.27452762046427,27.78692852558862,33.170330821345146,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,215.0,64,17.065660676824244,99.64170542979453,87.50992934265824,12.131776087136288,-82.57604475297029,-102.43520521091483,-64.74929240001856,4.933884589687949,-14.925275868256591,22.760636942639678,27.601495021726016,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,220.0,64,17.506773596855986,97.70665119661021,87.50992934265824,10.19672185395197,-80.19987759975422,-92.84780687913332,-62.57065271305991,7.310051742904022,-5.337877536475077,24.939276629598332,21.5055339050391,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,225.0,64,17.098928460614513,95.84532317595301,87.50992934265824,8.335393833294773,-78.7463947153385,-94.49964297838751,-60.12873725153362,8.763534627319743,-6.989713635729274,27.381192091124618,26.269484225169258,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,230.0,64,13.928482157182962,94.05358664500403,87.50992934265824,6.5436573023457925,-80.12510448782106,-94.31721063687364,-64.58257980147945,7.384824854837177,-6.8072812942154,22.927349541178785,21.631321824363905,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
