hyd_parameter_set,fit_scope,fit_min_nm,fit_max_nm,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,pooled_residual_rmse_pN,block_normalized_rmse_min,block_normalized_rmse_median,block_normalized_rmse_max,optimizer_success,optimizer_nfev,optimizer_message,block
shared_empirical_20_200,shared_across_four_blocks,20.0,200.0,112407.03423471947,0.6501513458457943,37.464890960250294,15.64877622819079,0.03593009499046321,0.05663434848866311,0.0823058243720623,True,10,`ftol` termination condition is satisfied.,
shared_empirical_20_250,shared_across_four_blocks,20.0,250.0,114656.57964985952,0.6717637848660486,39.86033631075889,16.59205737568939,0.038158129958800066,0.05799692455382199,0.08587581112630865,True,12,`ftol` termination condition is satisfied.,
block_specific_empirical_20_200,block_1,20.0,200.0,130041.0803122226,0.5877309394166668,36.28904197561612,10.271382743227822,0.03751011793604205,0.03751011793604205,0.03751011793604205,True,9,`ftol` termination condition is satisfied.,1
block_specific_empirical_20_200,block_2,20.0,200.0,122350.7595094147,0.6319556718642195,40.6332810308012,8.414072892126498,0.033148451869934946,0.033148451869934946,0.033148451869934946,True,9,`ftol` termination condition is satisfied.,2
block_specific_empirical_20_200,block_3,20.0,200.0,102859.68518888447,0.7189276010358712,39.677986187089545,9.502285318325441,0.03847455106960146,0.03847455106960146,0.03847455106960146,True,14,`ftol` termination condition is satisfied.,3
block_specific_empirical_20_200,block_4,20.0,200.0,96079.93219426944,0.6752569299351486,33.48381115641141,8.655986669991167,0.03531415870712546,0.03531415870712546,0.03531415870712546,True,14,`ftol` termination condition is satisfied.,4
