analysis_variant,parameter,parameter_label,unit,block,speed_um_per_s,early_map_order,late_map_order,both_maps_usable,pair_mean,pair_half_difference
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.9,17,24,False,8.393190492859599,0.04655911402550128
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,2.7,18,23,True,9.514220562591534,0.17081436221594082
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.1,26,31,True,11.482373948784433,0.1727086069833046
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.3,27,30,True,7.729526279256335,0.10951244279615402
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.9,28,29,False,6.893211892313224,0.3309304571896803
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,2.7,25,32,False,5.408140512820394,2.624689059218012
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.1,1,8,True,39.33713875930304,0.1212639207123658
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.3,2,7,True,43.832952739564234,1.8451883673833045
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.9,3,6,True,48.062211301039255,1.1914444002243414
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,2.7,4,5,False,45.210805746114616,0.38335042614032844
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.1,12,13,True,37.75791339284761,2.0128688102045196
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.3,9,16,True,41.720466999310794,3.251925990898833
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.9,10,15,True,44.29826168800109,6.150972638281697
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,2.7,11,14,False,30.84063525709106,5.475889913093804
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.1,19,22,True,39.14111537204728,2.372681640929759
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.3,20,21,True,46.00273141818052,1.1933730910796818
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.9,17,24,False,40.72610400630185,1.3361542187596598
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,2.7,18,23,True,39.722089081869555,0.3840337788656747
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.1,26,31,True,34.2738107635008,0.4828219261909581
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.3,27,30,True,38.461623266181405,0.5131421942138736
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.9,28,29,False,43.55199835778812,2.2963101920002273
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,2.7,25,32,False,273.35456990061385,226.64543009938203
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.1,1,8,True,14.189105770387814,1.359972464481329
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.3,2,7,True,12.87160740691251,0.7617798115174654
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.9,3,6,True,14.745184973672828,0.5610351416040471
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,1,2.7,4,5,True,36.98904427727608,10.779699285973521
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.1,12,13,True,11.95301545199067,0.1377480414500747
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.3,9,16,True,10.311495590303732,0.4583970161902746
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.9,10,15,True,9.932037063931304,0.5468872061651835
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,2,2.7,11,14,False,11.935421135713455,2.0532895578941455
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.1,19,22,True,13.612076147485936,0.5881022860213614
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.3,20,21,True,10.711878059759758,0.4380760453920933
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.9,17,24,True,9.223123146897223,0.1195403738170775
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,3,2.7,18,23,True,8.881838881419272,0.19790480693649748
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.1,26,31,True,12.583049442475616,0.2526722275325852
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.3,27,30,True,8.861268291269713,0.20516486374779763
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.9,28,29,False,7.75499287740227,0.279524204328927
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,4,2.7,25,32,False,5.354418514580736,2.390504451258669
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.1,1,8,True,39.92879523774582,0.22530097104518276
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.3,2,7,True,44.643889169315386,1.5629688831754507
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.9,3,6,True,49.644488041518585,1.0512580573684396
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,2.7,4,5,True,43.25528885508035,1.0711278560546411
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.1,12,13,True,38.32836453549572,1.8886362202842157
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.3,9,16,True,41.90792094815647,3.464396446359526
