acquisition_order,variant,fit_quality_pass,lambda_relative_change_percent,potential_relative_change_percent
1,constant_baseline,True,1.5923412955864302,0.582673573187753
1,lower_plus_10nm,False,23.025837224337376,-22.988581401578813
1,upper_200nm,False,-2.0947526665727856,1.9380436194389006
1,common_80_250nm,False,26.19228409711809,-16.216575356199993
1,no_slip_hydrodynamic,False,-6.1373314950085245,2.925815876497806
2,constant_baseline,True,2.104225146211358,-2.267075989441547
2,lower_plus_10nm,False,-11.95880262365594,28.520568782251242
2,upper_200nm,False,4.235466629994034,-3.807812734178373
2,common_80_250nm,False,-28.013087514037426,504.24173423188137
2,no_slip_hydrodynamic,False,-2.6596037008507656,1.3738983697273
3,constant_baseline,True,7.380053898826366,-5.745875232863307
3,lower_plus_10nm,False,6.101122148231952,-9.097544060684115
3,upper_200nm,False,0.9862138604420645,-0.8344054414359925
3,common_80_250nm,False,22.337429825489497,-31.43000896138427
3,no_slip_hydrodynamic,False,-13.020088239285476,8.951199169853673
4,constant_baseline,True,18.091570799598443,-12.212582388620296
4,lower_plus_10nm,False,20.81729221433617,-25.59349794049509
4,upper_200nm,False,-8.40729948711495,10.981941672193262
4,common_80_250nm,False,324.61165936201706,-66.66397843035455
4,no_slip_hydrodynamic,False,-15.84845737844005,17.987520304459913
5,constant_baseline,True,-18.749992367261314,21.92083561888405
5,lower_plus_10nm,False,56.741802796190875,-21.163722721289048
5,upper_200nm,False,-24.390434841607245,17.943014739107042
5,common_80_250nm,False,229.48846945508876,-19.816738493153885
5,no_slip_hydrodynamic,False,-6.10810832376214,1.0182056179178556
6,constant_baseline,False,-13.85153157447585,-3.006206847071946
6,lower_plus_10nm,False,13.403767596927828,-10.821013640027498
6,upper_200nm,False,-16.49230893751089,12.289177115937777
6,common_80_250nm,False,21.96380877588835,-16.245550796937536
6,no_slip_hydrodynamic,False,-6.0300125039445485,-0.2593263678500324
7,constant_baseline,False,38.127853890255594,-74.08604981546245
7,lower_plus_10nm,False,-3.6016311005607426,-1.2861933740282439e-10
7,upper_200nm,False,0.501277341000339,3.703704010149522e-11
7,common_80_250nm,False,-13.42422472368856,-24.01877403376065
7,no_slip_hydrodynamic,False,-1.0191149126559385,-2.8895996706523874e-09
8,constant_baseline,False,39.741753647251656,-30.635584346902213
8,lower_plus_10nm,False,31.899497236663166,-39.938993076584076
8,upper_200nm,False,-2.5695929185183597,4.247218768896932
8,common_80_250nm,False,78.24953345912822,-61.47898444369472
8,no_slip_hydrodynamic,False,-25.723292037489752,76.76023284530733
9,constant_baseline,False,28.227788594640458,-2.809414454579928
9,lower_plus_10nm,False,45.4119752962052,-19.451641800622177
9,upper_200nm,False,35.31019726410878,-6.096012162450726
9,common_80_250nm,False,61.270069337686635,-23.25273180679268
9,no_slip_hydrodynamic,False,-9.04666888966733,-1.5312799991436865
10,constant_baseline,False,5.168779522527744,-0.36763343267841586
10,lower_plus_10nm,False,162.33319433060052,-23.071823219426257
10,upper_200nm,False,-34.158861942212546,40.65966143644175
10,common_80_250nm,False,399.26472950156375,-1.9138399365059788
10,no_slip_hydrodynamic,False,-11.408355137375747,2.519459696497983
11,constant_baseline,False,246.40323544677173,-91.77408695351761
11,lower_plus_10nm,False,3.210641725303409,1.4392922409456332e-07
11,upper_200nm,False,6.196443486579839,-48.48154747719057
11,common_80_250nm,False,3.210641725303409,1.4392922409456332e-07
11,no_slip_hydrodynamic,False,-8.161284533201984,-8.572541498885755e-06
12,constant_baseline,False,170.7058159443702,-70.54582223358837
12,lower_plus_10nm,False,-12.841083850372137,232.6811037120754
12,upper_200nm,False,-2.3927341921469503,7.916260267599373
12,common_80_250nm,False,-12.622132102186034,232.68110371589245
12,no_slip_hydrodynamic,False,-7.38077419608878,25.15851634284769
13,constant_baseline,True,60.097377923849436,-14.049057065123115
13,lower_plus_10nm,False,41.13136885618766,-26.219012732384616
13,upper_200nm,False,-17.488797422093693,18.43921339106689
13,common_80_250nm,False,104.2621011780576,-38.721648551948476
13,no_slip_hydrodynamic,False,-27.056489380678915,22.402031594416115
14,constant_baseline,True,213.85319627897346,-63.821393538841065
14,lower_plus_10nm,False,-16.306031211160587,115.01404917918707
14,upper_200nm,False,-1.507569934159625,3.503164315213536
14,common_80_250nm,False,-18.431910403313534,170.77385303807318
14,no_slip_hydrodynamic,False,-14.291978773300862,41.244838292633744
15,constant_baseline,False,2493.670973299534,-87.4028198665137
15,lower_plus_10nm,False,-74.98070263726635,-99.71717026303621
15,upper_200nm,False,2.724483451531534,-0.023949478171980676
