acquisition_order,point_index,gap_speed_um_per_s,far_distance_min_nm,far_distance_max_nm,far_sample_count,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN,hydro_after_far_line_at_80nm_pN
1,0,1.9909853562883981,687.681415732876,886.5212515320239,200,-0.0011138922033421914,1.7495447217958937,6.879847372304771
1,1,1.9977979005574829,686.8826114500429,883.702174242017,200,-0.0011195828970653491,1.7570185906307536,6.903158708536372
1,2,1.9990116604296404,688.3951058866855,885.8777016875017,200,-0.0011162337040998428,1.7549066094851802,6.91003031441617
1,3,1.9942232440574847,686.80637407489,885.2114194740366,200,-0.0011175832859234062,1.7538828742613215,6.889991214376373
1,4,1.9969257246797258,668.9058581444194,861.6556431139944,196,-0.001178194869625345,1.802086195143411,6.857671572751688
1,5,1.9919542621396902,687.1316674012111,886.3488217570987,200,-0.0011153969738656485,1.751165291126231,6.882327877273548
1,6,1.9946876772244246,664.2357272481366,856.0829496884676,195,-0.0011928045204128922,1.8122213860760756,6.839292447015566
1,7,1.9965702914338186,686.1616862776324,885.2186671809217,200,-0.0011207867971507676,1.7574349787158248,6.89720484528292
1,8,1.9915958945196677,685.6608724372651,884.9696972901093,200,-0.0011200021145016702,1.7546236788447587,6.877656992839718
1,9,1.996904342465789,688.1968421681629,886.9128555040486,200,-0.0011151401506674355,1.75312612118632,6.903075335023261
1,10,2.003158527144539,688.7889208755099,888.1140461873132,200,-0.0011161918213493877,1.7566865324046423,6.927306405507015
1,11,1.9995308574716348,688.0203938188088,887.0408297621432,200,-0.0011172355675738248,1.7559277368015982,6.911705391038955
1,12,1.996721655778566,685.845726120606,884.9935265668112,200,-0.0011214814367095161,1.758050323311809,6.896799192500467
1,13,2.0005779009431137,690.0000557828237,888.7529977184038,200,-0.001112353005190576,1.7525099970644726,6.919771853958544
1,14,1.996500306165696,686.6326800757378,885.7572941176185,200,-0.0011193161491489644,1.756245933597265,6.8978702975678114
1,15,1.9976892395494443,687.6679855172987,886.5244883179726,200,-0.0011170904533817016,1.7550041185162708,6.9040677494650415
1,16,1.9970347224726572,686.0447596163775,885.1481002879148,200,-0.0011212633871168342,1.7580150184915846,6.898391506339108
1,17,1.996075652356997,687.5943775633424,884.1986385331982,200,-0.0011162224355556103,1.7536175348803547,6.898713655914856
1,18,1.9958686596227295,687.0998601201759,883.8299060465205,200,-0.00111793209095398,1.754870183910096,6.897054892209441
1,19,1.9945100364752313,686.6221336731202,884.6810521204579,200,-0.0011185005130719802,1.7547296325991926,6.890235055078797
1,20,1.9988503350169555,688.1785633102783,884.908286008004,200,-0.0011164053548088303,1.754968673474838,6.909599237089999
1,21,1.9921476510089011,685.8982092562472,882.8957423717115,200,-0.0011188211609954083,1.7539430718493607,6.8812304644010105
1,22,1.9976834635926433,686.2654635112126,883.2290097709871,200,-0.0011214451422978276,1.7584345287585412,6.900364871037343
1,23,1.9953798397292766,686.3499477187394,883.2852208878614,200,-0.0011197893657043333,1.7561210570682038,6.893351967104157
1,24,1.993521638367994,686.7984141889285,886.2687912329217,200,-0.0011171697954450448,1.7532431032688458,6.887663095599451
1,25,1.9980268458822408,688.9127614000175,887.6043342330954,200,-0.00111347323844186,1.7522957726575372,6.908825835475836
1,26,1.9967155791618314,687.0177372362704,886.1424283949444,200,-0.0011185849814162885,1.7557627208990525,6.899060289101064
1,27,1.9938141425736031,686.4901239304266,885.3654149287311,200,-0.0011183493315596964,1.7543098917302766,6.887616682340401
1,28,1.9916337462218374,685.5604092038509,884.6574424611185,200,-0.0011192537419105043,1.754064304451737,6.878499695240822
1,29,1.996392049419664,686.9854233464582,885.6086178307766,200,-0.001118262306484343,1.7553662932316993,6.898324111502218
1,30,1.9957078117952884,687.2719512294381,886.4308504240158,200,-0.0011170889777633536,1.7541419374565255,6.896646311981294
1,31,1.9955469045694032,687.2015967701378,884.9280279510493,200,-0.001117604044684019,1.7544737738683143,6.895594374279452
1,32,1.9921480187372773,685.5031343873475,884.0378406412349,200,-0.0011208914692373236,1.755557103086203,6.879440566627128
1,33,1.9950634869304014,686.9348049890937,883.7163501723821,200,-0.0011176168654916383,1.7542746133602807,6.893123723148403
1,34,1.9974308575653323,687.7889721633603,886.36535388181,200,-0.0011163724193597449,1.7543266236882,6.903922911952462
1,35,1.9954425653377503,687.5181593253361,885.1744303208156,200,-0.0011160709939295123,1.7532176192626938,6.896600220996723
1,36,1.996575352154883,688.0259096749793,884.9157900696291,200,-0.001115553605409573,1.753301125298359,6.9006817049716656
1,37,1.9948585959091678,685.2940354619197,882.26396195299,200,-0.0011224462852728735,1.7579857954870977,6.889140854018173
1,38,1.9995962221297412,685.8609168495391,882.6276986347369,200,-0.0011241563466570107,1.7614081412464264,6.906445225766064
1,39,1.994851419194429,686.6490337918249,884.8493249624574,200,-0.0011180622532868216,1.7545367226379596,6.89246855035023
1,40,1.9951252204588925,686.1091150633702,885.151036576706,200,-0.001120918446878197,1.7568936575870473,6.890990075903269
1,41,1.9928220620508288,686.056850335016,884.6452713522839,200,-0.0011191236348891197,1.75448161288695,6.882972548653154
1,42,1.9967852694327186,687.3207457555402,886.2842396828936,200,-0.001117385837932188,1.7548472350101405,6.900635822095609
1,43,1.995684898372378,686.7489777618466,885.6522364183477,200,-0.0011184355194925814,1.7551938038906643,6.895400864948909
1,44,1.9943992642324255,686.1290005602533,884.6262155339948,200,-0.0011197054401571383,1.7556320954657039,6.889394237256311
1,45,1.994446428025915,686.2137311798685,885.0281924074955,200,-0.0011195594952949472,1.7555386983867631,6.889309588700881
1,46,1.994388542649895,685.8966910782417,885.1070891763591,200,-0.0011203333069012295,1.7561238602791511,6.888934474632138
1,47,1.9969288417576512,687.0930269326024,886.2004635851657,200,-0.0011178873262155037,1.755305440711489,6.900676121495225
1,48,1.9940130508390277,684.5362000347444,883.820888000196,200,-0.001124266849523475,1.7590542303911598,6.883827165185286
1,49,1.9980573114290558,683.2426700239139,880.2182356359048,200,-0.0011297743728863816,1.7651524277586597,6.896904010623383
1,50,1.9974477313365997,687.5376917430759,884.3610948213019,200,-0.0011173821794764752,1.7551261105097147,6.903487115017746
1,51,1.9950547020623082,688.114039409543,884.662937334085,200,-0.0011144100237827756,1.7517361661143722,6.895425816558482
1,52,1.9932367612913688,686.6682259014768,884.3055576798607,200,-0.0011170778307212912,1.753048417300974,6.886487647787599
1,53,1.9945798733130833,685.7134376904067,882.5611788168237,200,-0.0011212691473701986,1.7569365114488704,6.8886563764918485
1,54,1.9972886810975488,686.7662801353546,883.5810576338276,200,-0.0011197682292299002,1.7569399909484849,6.900853490264783
1,55,1.9913740074231687,686.8458208633702,885.3842303616235,200,-0.0011161019525042397,1.7514662472889833,6.880100964544854
1,56,1.999121849369743,686.0895693854193,885.4176091203921,200,-0.0011223267493389772,1.7597599775714472,6.9064327029432375
1,57,1.9990888531855364,687.9144131236578,886.3016260712304,200,-0.0011176025629195034,1.7560221158383378,6.908891545267981
1,58,1.9950732773560944,686.7593673327802,886.0930077653413,200,-0.0011180217112521007,1.754600507420788,6.892591890870765
1,59,1.9961010748678985,687.1391985463488,886.0496870833582,200,-0.0011179154097680276,1.7549653614795833,6.8970133740252155
1,60,1.9948174230566185,687.4398848924541,886.4079222054642,200,-0.0011158946099798033,1.7528099731711326,6.8937076159209205
1,61,1.9953668018225288,685.6746428099458,884.845362584559,200,-0.001121275370846972,1.7572949651936507,6.891850015677356
1,62,1.9972245460739486,686.3783692679458,885.2874959463669,200,-0.0011210383704875085,1.757920518608374,6.898960954453273
1,63,1.992654748550741,686.4733645718273,885.4587857349105,200,-0.0011177643852587633,1.7533389683931913,6.883124023802555
2,0,0.996278484361765,687.6632249562907,886.8194612028931,200,-0.0005570634064884277,0.8752082193190878,3.4431775125443145
2,1,0.9992296485252496,687.0610711568024,885.0889414049594,200,-0.0005593990734083858,0.8783465610281619,3.453432673818021
2,2,0.9985346839849419,687.6658078205423,886.1262532538881,200,-0.000558569111033709,0.8773858417982352,3.451218964477776
2,3,0.9979138288915306,686.6447670149558,884.5238129595411,200,-0.0005596605966404376,0.8779742979090106,3.4475367856359806
2,4,0.9971762041234045,664.2228019964415,858.1132549048068,196,-0.0005956693081421176,0.9055016631660942,3.4189239401630345
