acquisition_order,map_midpoint_time,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,pixel_spread_mad_pN,fit_weight_scale_pN,pixel_count,safe_dmin_nm,detected_snap_max_nm,in_primary_window
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,5.0,-4182.326738431181,1307.646123389604,1307.646123389604,33,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,10.0,-2559.1169373148955,1372.1494295243965,1372.1494295243965,23,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,15.0,-1218.4114930697529,809.071806621525,809.071806621525,29,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,20.0,-405.88973355434746,718.294283864166,718.294283864166,41,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,25.0,628.3957772904979,185.48007013790271,185.48007013790271,61,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,30.0,466.9073809159331,144.00294888463412,144.00294888463412,64,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,35.0,323.06118322469104,123.6997222709071,123.6997222709071,64,40,29.16552890190964,False
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,40.0,229.85377233179497,134.60199724841743,134.60199724841743,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,45.0,155.67789168538883,121.68626309718354,121.68626309718354,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,50.0,107.70493504203395,130.57310648867588,130.57310648867588,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,55.0,74.80670112327493,127.05768993014442,127.05768993014442,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,60.0,50.2627224324265,124.09673066532427,124.09673066532427,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,65.0,37.071663270718375,129.83076497559978,129.83076497559978,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,70.0,32.75126941185382,128.6049089112649,128.6049089112649,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,75.0,19.380067821095203,129.71704883157443,129.71704883157443,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,80.0,24.712466194133594,131.90903483623092,131.90903483623092,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,85.0,6.91692728872234,127.50311129937717,127.50311129937717,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,90.0,5.001973201072609,134.85986664457596,134.85986664457596,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,95.0,2.074218007168165,122.5857525095964,122.5857525095964,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,100.0,6.803557183546834,116.77792602971796,116.77792602971796,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,105.0,4.975311649833233,107.47663938709366,107.47663938709366,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,110.0,8.725233348271516,107.52795901235727,107.52795901235727,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,115.0,-6.032339100909965,108.41490103514909,108.41490103514909,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,120.0,-13.375874684885883,99.30764239377736,99.30764239377736,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,125.0,-15.892194465821177,105.36622404212416,105.36622404212416,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,130.0,-6.887358831315119,99.92788500818347,99.92788500818347,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,135.0,-8.056072705279657,102.74187945655652,102.74187945655652,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,140.0,-9.005885972635216,109.6498349083946,109.6498349083946,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,145.0,-9.728491569128629,105.70905290434288,105.70905290434288,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,150.0,-5.30882855597639,102.93353070434922,102.93353070434922,64,40,29.16552890190964,True
1,2026-09-08T15:17:19.781500+02:00,2.0,linear_drift_corrected,155.0,-8.047348313541978,115.3933397533708,115.3933397533708,64,40,29.16552890190964,True
