source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,map_approach_duration_sum_s,map_retract_duration_per_curve_s,map_protocol_duration_estimate_s,map_protocol_midpoint_estimate,map_protocol_midpoint_epoch_s
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,777a765663317403cc2966bcbefb90bdddd740c13e5a2132fd2e102e508cb973,2026-08-27T15:24:51.168000,11,2,0.05,8,8,10.0,10.0,64,0,64,0,61,54.61810508668555,0.2619255519720034,51.82205666711353,0.050000555029648175,0.04798290979465139,21.806566183473223,-7.418671181178753,6.216967344634716,13.26888400606034,0.125,59.30736551828416,1.0,0.953125,0.0,0.0,98.8338313515333,-0.7035576230983432,0.8284900548401588,637.926,0.25,653.926,2026-08-27T15:30:18.131000,1787837418.131
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,60e408a8e151885e1cd177838d90ea85312c52ee62e65620c826cba37804e1ad,2026-08-27T15:36:15.070000,12,2,0.1,8,8,10.0,10.0,64,0,64,0,61,54.6867988559498,0.21006178019084926,51.82205666711353,0.10000211418024592,0.09666990577550738,21.78340114772925,-10.54962612071102,6.423947475912725,13.290447395012162,0.140625,79.754401262718,1.0,0.953125,0.0,0.0,88.37314571217955,-0.5559693343854868,0.6763700912105106,319.1885,0.25,335.1885,2026-08-27T15:39:02.664250,1787837942.66425
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,c5abae8a7dcf8a33ca7880c09df82f41b43275d0f8cc61aea72d1550a9192873,2026-08-27T15:48:41.060000,13,3,0.05,8,8,10.0,10.0,64,0,64,0,58,51.50755396147515,0.2880761641762583,51.82205666711353,0.050000599746842664,0.047606609142386985,21.81266634604507,-1.876630388655772,3.9586467113832544,13.29353455021591,0.75,3.7484202327870504,1.0,0.921875,0.0,0.0,108.02361234828402,-1.42093537252351,2.133230322227424,636.059,0.25,652.059,2026-08-27T15:54:07.089500,1787838847.0895
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,ea8936af97a87f45feab23d4a604c4a792589a6d82448e48439cd3643bf4baa6,2026-08-27T16:09:07.348000,14,3,0.2,8,8,10.0,10.0,64,0,64,0,61,51.87827195163404,0.3709276045283301,51.82205666711353,0.20000891532563103,0.19086437504015724,21.812300789529907,2.1502493653412262,2.710088727481735,13.39460130388893,0.171875,83.413436363588,1.0,0.84375,0.0,0.0,97.0283252292675,-0.6166546277470633,0.8313123734722148,159.4625,0.25,175.4625,2026-08-27T16:10:35.079250,1787839835.07925
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,427cff990261e8ef21d05e4ae45036501b155a149f4ad704286f2754d263c059,2026-08-27T16:12:38.424000,15,3,0.1,8,8,10.0,10.0,64,0,64,0,60,51.74854143237286,0.24824880898244694,51.82205666711353,0.10000219442186634,0.09540009573083572,21.844374645705308,1.980106720279864,3.7550315286350986,13.432748164216488,0.46875,3.5021425130609716,1.0,0.9375,0.0,0.0,100.66007811659574,-0.8469643833587168,1.3353696644043525,318.7885,0.25,334.7885,2026-08-27T16:15:25.818250,1787840125.81825
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,5e22ffdbd7ddfaa4929efb7fb5393deaee7e8c16cba1a37d9260472413a0a942,2026-08-27T16:18:55.666000,16,3,0.1,8,8,10.0,10.0,64,0,64,0,61,51.66493260272741,0.24483521921596624,51.82205666711353,0.10000219309216174,0.095783837489214,21.82897877486024,0.9834483517190369,3.773730994477927,13.509889597351393,0.453125,3.3446179278220978,1.0,0.890625,0.0,0.0,90.5377996203083,-0.7780518619994625,0.8445758382116009,318.7935,0.25,334.7935,2026-08-27T16:21:43.062750,1787840503.06275
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,e703c139203d380709109c939a365b19a5a3adc6d11f6e705f85f32caecef7e4,2026-08-27T16:25:10.504000,17,3,0.2,8,8,10.0,10.0,64,0,64,0,63,51.755295588219276,0.253718434184695,51.82205666711353,0.20000841738843989,0.19244846406308702,21.8086540923412,1.832042814703403,3.63886753172922,13.56238662468435,0.28125,92.05108951319383,1.0,0.984375,0.0,0.0,79.34263787488742,-0.6934574433121663,0.4802006775962874,159.4865,0.25,175.4865,2026-08-27T16:26:38.247250,1787840798.24725
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,ccc332f0b7fdd0106f4f1387ec0eb63bc07476bd671d644d38a8abb5524c8978,2026-08-27T16:29:39.734000,18,3,0.05,8,8,10.0,10.0,64,0,64,0,59,51.69115204546038,0.18731460305704853,51.82205666711353,0.0500005586808458,0.04842620755797471,21.843299467672583,0.25077389747888446,3.854308797162421,13.61900477691512,0.28125,6.3201259497978395,1.0,0.90625,0.0,0.0,92.24597029127371,-0.6524925419435152,1.0656790049979092,637.505,0.25,653.505,2026-08-27T16:35:06.486500,1787841306.4865
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,b92799b7476f786550e11c43e23635fd2035047870c9c8a2f665e0b74343bc10,2026-08-27T16:47:00.630000,19,4,0.2,8,8,10.0,10.0,64,0,64,0,61,51.11063660179005,0.2230436670169423,51.82205666711353,0.20000935161080208,0.19495108280404694,21.807502649940133,1.0233705276597722,4.305818447300514,13.483709622113315,0.015625,120.02540156372143,1.0,0.90625,0.0,0.0,88.53079291205455,-0.5857803010646461,0.7512252725477269,159.545,0.25,175.545,2026-08-27T16:48:28.402500,1787842108.4025
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,11a741e1e20c7907584e29870614524fb9ae62886b7840c9221e21ecb0eb9b43,2026-08-27T16:50:32.826000,20,4,0.1,8,8,10.0,10.0,64,0,64,0,60,51.089990897324704,0.17447571022048455,51.82205666711353,0.10000229317495492,0.09772370530801239,21.824548854174278,-0.5308226683205418,3.5651071222918826,13.523468025205407,0.109375,75.52205740491925,1.0,0.953125,0.0,0.0,92.8928592147627,-0.5586091307821587,0.7801028626980644,319.2055,0.25,335.2055,2026-08-27T16:53:20.428750,1787842400.42875
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,3b08dcc642c2e4079bc4cef5cee5aa1f8838305defe8ab5b86521c047340c15c,2026-08-27T16:56:56.658000,21,4,0.05,8,8,10.0,10.0,64,0,64,0,59,51.00563551710231,0.1526134740793271,51.82205666711353,0.05000057705688306,0.04908511865867665,21.825000112157454,-1.9044628530292205,5.568634659829538,13.547593294658896,0.140625,26.558020983872453,1.0,0.984375,0.0,0.0,77.67232801837775,-0.7082625991338688,0.8395765301558538,638.232,0.25,654.232,2026-08-27T17:02:23.774000,1787842943.774
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,ef3d75d8b5c718953d97fe5138fe43a4013328a842118caa7196e93524fefe7d,2026-08-27T17:08:28.590000,22,4,0.05,8,8,10.0,10.0,64,0,64,0,61,50.97214519164974,0.19045350743522313,51.82205666711353,0.05000057091945464,0.049425618405138094,21.83262608221666,-0.903444359823558,6.184638935240017,13.589604771083211,0.21875,18.886059462118602,1.0,0.984375,0.0,0.0,88.4360599684275,-0.7282820630870348,0.8653212811744408,638.157,0.25,654.157,2026-08-27T17:13:55.668500,1787843635.6685
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,b37f43a8774c0f45caa44e326d410ea563ef37588b40807e3327c1967857e51e,2026-08-27T17:19:56.860000,23,4,0.1,8,8,10.0,10.0,64,0,64,0,60,51.13608839185281,0.16899815074267466,51.82205666711353,0.10000215686345124,0.09926823854122471,21.821874056613147,-0.4909531928289992,4.544262769143556,13.625206450035037,0.109375,48.22682968182641,1.0,0.9375,0.0,0.0,80.98849106185078,-0.6551411491937797,0.6211765368200403,319.1965,0.25,335.1965,2026-08-27T17:22:44.458250,1787844164.45825
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,5936cf4731c09a9e18969d27f516e73a8c9d443020f89eaf244367fe668cb6e7,2026-08-27T17:25:48.068000,24,4,0.2,8,8,10.0,10.0,64,0,64,0,61,51.20210020859717,0.16414242834384898,51.82205666711353,0.2000081957922176,0.19882876533419525,21.781965810937287,-1.5080607960058354,3.232364219119116,13.640805281740326,0.078125,96.37232589712809,1.0,0.9375,0.0,0.0,82.97163822916531,-0.5000453749784158,0.46954274246681904,159.631,0.25,175.631,2026-08-27T17:27:15.883500,1787844435.8835
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,1ee1b6711e573a11602e02219868e55b4dbbbcaf6b5ca1305a77ad56aba539e4,2026-08-27T17:31:45.428000,25,5,0.1,8,8,10.0,10.0,64,0,64,0,58,51.26148609922785,0.23935296139086115,51.82205666711353,0.10000233251092866,0.09959368685394637,21.811114579025965,-2.7848288602190974,4.347490090769761,13.638204560712097,0.953125,4.710711564580208,1.0,0.90625,0.0,0.0,94.0473815838921,-1.2968248502551487,0.8515898732595271,318.2695,0.25,334.2695,2026-08-27T17:34:32.562750,1787844872.56275
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,c60eab15feed025a4c8df1b3d5799562f52b49d89b433095887aca2fd2385da4,2026-08-27T17:38:13.338000,26,5,0.05,8,8,10.0,10.0,64,0,64,0,57,51.04906026937794,0.20270469608038863,51.82205666711353,0.05000058553371578,0.04989539992565871,21.805226385871205,-1.4810158544237524,4.53945740140139,13.713775353954299,0.921875,5.218149531165096,1.0,0.8125,0.0,0.0,151.27501272216855,-0.5559248387808671,1.2117489084876594,636.7955,0.25,652.7955,2026-08-27T17:43:39.735750,1787845419.73575
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,a24d93186b4682ee2a78815b5918a5f02382a15c091b7a48ef48709f95d62f0a,2026-08-27T17:49:29.094000,27,5,0.2,8,8,10.0,10.0,64,0,64,0,59,51.17232245089003,0.23905668503555874,51.82205666711353,0.20000868121759857,0.19972526061066104,21.7937911526856,-1.3243567318995568,5.01480500857546,13.757283184135236,0.921875,5.181320730875475,1.0,0.796875,0.0,0.0,130.65549013629987,-0.6144460874518812,0.537847333104179,159.32150000000001,0.25,175.32150000000001,2026-08-27T17:50:56.754750,1787845856.75475
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,f26560bdcf381574171f45db4d0f6a1816c2a9823cfe5cca667971daade847c0,2026-08-27T17:53:38.834000,28,5,0.2,8,8,10.0,10.0,64,0,64,0,58,51.13708895713901,0.17774477237037445,51.82205666711353,0.2000086925504902,0.19976521943818015,21.793187526474632,-0.6568640934075154,4.128910990710789,13.786212991105597,0.953125,5.487801936213124,1.0,0.8125,0.0,0.0,116.44803285363643,-0.5657179843597169,0.478633960215322,159.2905,0.25,175.2905,2026-08-27T17:55:06.479250,1787846106.47925
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,468c52a0df8bd6776724d53c1967b0a7267f0f088098414f169822d50f14d68f,2026-08-27T17:57:18.559000,29,5,0.05,8,8,10.0,10.0,64,0,64,0,59,51.13147521826652,0.1761060272354251,51.82205666711353,0.05000055684359099,0.049955980718655216,21.804707653685497,0.8874393342742188,6.261849742562749,13.829541398474483,0.96875,5.041559553313727,1.0,0.84375,0.0,0.0,146.86610274821925,-0.7697577464847449,0.6396746342669197,636.816,0.25,652.816,2026-08-27T18:02:44.967000,1787846564.967
