block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,metric,metric_label,unit,early_value,late_value,pair_symmetric_value,pair_history_half_difference,early_source,late_source
1,0.1,0.09846065227115142,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,2.1444595970819615,0.9657056901426183,1.55508264361229,-0.5893769534696716,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map
1,0.2,0.19646557354775118,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,53.59059385825239,54.009257658877495,53.79992575856494,0.20933190031255222,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,terminal_load_median_nN,terminal load,nN,21.798554113131313,21.76809325290354,21.78332368301743,-0.015230430113886584,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,far_slope_median_pN_per_100nm,far slope,pN/100 nm,0.48373607631051585,-6.25278774354264,-2.8845258336160624,-3.368261909926578,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,contact_height_median_um,contact height,um,7.11539275243709,7.302870025470542,7.209131388953816,0.09373863651672565,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.6875,0.125,0.40625,-0.28125,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,approach_snap_distance_median_nm,approach snap distance,nm,1.8623395898371162,78.89437484662841,40.378357218232765,38.516017628395645,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,99.6628995568698,80.60148033001165,90.13218994344072,-9.530709613429075,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,retract_pull_off_force_median_nN,retract pull-off,nN,-1.7096585119051713,-1.0992774170635915,-1.4044679644843814,0.3051905474207899,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
1,0.2,0.19646557354775118,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,1.7754427823194079,1.344305745567701,1.5598742639435543,-0.21556851837585345,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map
2,0.05,0.04779894881022077,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,54.367276311588036,54.61810508668555,54.492690699136794,0.12541438754875855,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,terminal_load_median_nN,terminal load,nN,21.79867527379037,21.806566183473223,21.802620728631794,0.00394545484142661,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,far_slope_median_pN_per_100nm,far slope,pN/100 nm,-6.4621501705704105,-7.418671181178753,-6.940410675874581,-0.4782605053041711,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,contact_height_median_um,contact height,um,13.229739048186257,13.26888400606034,13.249311527123298,0.019572478937041282,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.234375,0.125,0.1796875,-0.0546875,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,approach_snap_distance_median_nm,approach snap distance,nm,3.4817451413734046,59.30736551828416,31.39455532982878,27.912810188455378,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,101.37872134712828,98.8338313515333,100.10627634933078,-1.2724449977974857,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,retract_pull_off_force_median_nN,retract pull-off,nN,-1.008840549082445,-0.7035576230983432,-0.8561990860903941,0.1526414629920509,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.05,0.04779894881022077,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,1.0773572909835591,0.8284900548401588,0.952923672911859,-0.12443361807170017,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map
2,0.1,0.09608325613818748,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,54.44319975176716,54.6867988559498,54.564999303858485,0.12179955209132132,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
