source,timestamp,acquisition_order,block,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,50.0,627.8496001504006
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,100.0,81.077533615901
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,200.0,14.689202064145197
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,20.0,2589.697142258621
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,50.0,593.028466917318
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,100.0,51.889737431298116
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,200.0,-2.301778950659563
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,20.0,2324.0611873991807
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,50.0,493.2121721896164
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,100.0,35.43125444073431
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,200.0,0.5888272923867468
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,2026-08-27T15:36:15.070000,12,2,0.1,3,3,28,20.0,2251.4748127809185
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,2026-08-27T15:36:15.070000,12,2,0.1,3,3,28,50.0,431.21980427244
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,2026-08-27T15:36:15.070000,12,2,0.1,3,3,28,100.0,20.780697443244918
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,2026-08-27T15:36:15.070000,12,2,0.1,3,3,28,200.0,-4.275384944738542
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,2026-08-27T15:48:41.060000,13,3,0.05,3,3,28,20.0,2659.7409431040724
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,2026-08-27T15:48:41.060000,13,3,0.05,3,3,28,50.0,667.7841795419661
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,2026-08-27T15:48:41.060000,13,3,0.05,3,3,28,100.0,84.57968233131862
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,2026-08-27T15:48:41.060000,13,3,0.05,3,3,28,200.0,5.747171713591108
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,2026-08-27T16:09:07.348000,14,3,0.2,3,3,28,20.0,2629.631778856363
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,2026-08-27T16:09:07.348000,14,3,0.2,3,3,28,50.0,649.1002278726789
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,2026-08-27T16:09:07.348000,14,3,0.2,3,3,28,100.0,72.62301764966278
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,2026-08-27T16:09:07.348000,14,3,0.2,3,3,28,200.0,-2.7264342306766327
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,2026-08-27T16:12:38.424000,15,3,0.1,3,3,28,20.0,2464.4188185966887
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,2026-08-27T16:12:38.424000,15,3,0.1,3,3,28,50.0,582.6709032084254
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,2026-08-27T16:12:38.424000,15,3,0.1,3,3,28,100.0,61.53911224750864
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,2026-08-27T16:12:38.424000,15,3,0.1,3,3,28,200.0,-1.1138901723031949
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,2026-08-27T16:18:55.666000,16,3,0.1,3,3,28,20.0,1783.2183704615445
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,2026-08-27T16:18:55.666000,16,3,0.1,3,3,28,50.0,421.44849590757644
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,2026-08-27T16:18:55.666000,16,3,0.1,3,3,28,100.0,51.02909101078868
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,2026-08-27T16:18:55.666000,16,3,0.1,3,3,28,200.0,4.8690808097276
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,2026-08-27T16:25:10.504000,17,3,0.2,3,3,28,20.0,1542.0297378706753
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,2026-08-27T16:25:10.504000,17,3,0.2,3,3,28,50.0,338.5942172735027
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,2026-08-27T16:25:10.504000,17,3,0.2,3,3,28,100.0,24.858257952635302
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,2026-08-27T16:25:10.504000,17,3,0.2,3,3,28,200.0,-2.471538899580883
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,2026-08-27T16:29:39.734000,18,3,0.05,3,3,28,20.0,1362.8839666269073
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,2026-08-27T16:29:39.734000,18,3,0.05,3,3,28,50.0,291.9331853759677
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,2026-08-27T16:29:39.734000,18,3,0.05,3,3,28,100.0,34.34965698901415
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,2026-08-27T16:29:39.734000,18,3,0.05,3,3,28,200.0,1.9245411575820741
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,2026-08-27T16:47:00.630000,19,4,0.2,3,3,28,20.0,1988.0755569667358
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,2026-08-27T16:47:00.630000,19,4,0.2,3,3,28,50.0,323.10838738161976
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,2026-08-27T16:47:00.630000,19,4,0.2,3,3,28,100.0,23.72331061907606
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,2026-08-27T16:47:00.630000,19,4,0.2,3,3,28,200.0,-1.4913127064918237
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,2026-08-27T16:50:32.826000,20,4,0.1,3,3,28,20.0,2100.4859686234863
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,2026-08-27T16:50:32.826000,20,4,0.1,3,3,28,50.0,321.34597322106686
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,2026-08-27T16:50:32.826000,20,4,0.1,3,3,28,100.0,15.670975072468453
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,2026-08-27T16:50:32.826000,20,4,0.1,3,3,28,200.0,-1.7992023158803214
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,2026-08-27T16:56:56.658000,21,4,0.05,3,3,28,20.0,1958.029730511339
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,2026-08-27T16:56:56.658000,21,4,0.05,3,3,28,50.0,277.55052011752497
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,2026-08-27T16:56:56.658000,21,4,0.05,3,3,28,100.0,26.795352631360196
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,2026-08-27T16:56:56.658000,21,4,0.05,3,3,28,200.0,12.325804247970748
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,2026-08-27T17:08:28.590000,22,4,0.05,3,3,28,20.0,1762.0928318882152
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,2026-08-27T17:08:28.590000,22,4,0.05,3,3,28,50.0,174.240107064344
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,2026-08-27T17:08:28.590000,22,4,0.05,3,3,28,100.0,2.372049644567646
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,2026-08-27T17:08:28.590000,22,4,0.05,3,3,28,200.0,-0.1583047142199011
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,2026-08-27T17:19:56.860000,23,4,0.1,3,3,28,20.0,1566.8979078737111
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,2026-08-27T17:19:56.860000,23,4,0.1,3,3,28,50.0,137.6117316925133
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,2026-08-27T17:19:56.860000,23,4,0.1,3,3,28,100.0,9.605087471630286
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,2026-08-27T17:19:56.860000,23,4,0.1,3,3,28,200.0,5.365177056115566
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,2026-08-27T17:25:48.068000,24,4,0.2,3,3,28,20.0,1426.5871934636039
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,2026-08-27T17:25:48.068000,24,4,0.2,3,3,28,50.0,98.85868468458298
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,2026-08-27T17:25:48.068000,24,4,0.2,3,3,28,100.0,-1.4334193195187082
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,2026-08-27T17:25:48.068000,24,4,0.2,3,3,28,200.0,-5.5170270672976836
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,2026-08-27T17:31:45.428000,25,5,0.1,3,3,28,20.0,-415.574637721032
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,2026-08-27T17:31:45.428000,25,5,0.1,3,3,28,50.0,71.6547286003632
