source,timestamp,acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,pixel_acquisition_order,sensitivity_used_nm_per_V,contact_invOLS_nm_per_V,contact_response_ratio,contact_fit_R2,contact_height_um,terminal_load_nN,far_slope_pN_per_100nm,far_noise_pN,scanner_speed_um_per_s,gap_speed_20_200nm_um_per_s,approach_snap_detected,approach_snap_distance_nm,approach_barrier_force_nN,retract_free_baseline_valid,retract_snapoff_detected,retract_detachment_right_censored,retract_pull_off_censored,retract_detachment_piezo_travel_nm,retract_pull_off_force_nN,retract_pull_off_observed_floor_nN,branch_contact_height_difference_nm
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,0,0,0,0,51.82205666711353,53.30380756027984,0.9722017814301419,0.999737335181942,7.1192347299004695,21.75626410366843,5.63309630702492,9.140657863600625,0.19999994113005015,0.19281129667781324,True,2.7629439858804288,8.002082593149591,True,True,False,False,204.24412868561438,-1.3839742662546832,-1.3839742662546832,2.517171426327889
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,1,0,1,1,51.82205666711353,53.21025140734968,0.973911141114353,0.9998636912462912,7.119794832876914,21.799995697178144,5.558670354973125,9.320489055639445,0.200020075618282,0.19279257768644448,True,2.525399301379295,7.246451205434916,True,True,False,False,115.74012533813236,-2.1096300378985706,-2.1096300378985706,1.3969814423304052
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,2,0,2,2,51.82205666711353,53.59059385825239,0.9669991118998111,0.9998514031241383,7.120089039696904,21.762650585491205,-0.5593260191492575,9.24021905859989,0.20001506090026677,0.19391172853970157,True,1.1679361189486586,8.024479727243941,True,True,False,False,77.23013345199776,-2.647389520036593,-2.647389520036593,0.014048691467013217
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,0,3,3,51.82205666711353,53.323891798133424,0.9718356053848181,0.9997436319826822,7.1168918540245985,21.803172924508857,-0.14550688753927837,9.751930947040545,0.20001292803820875,0.19335061080208393,True,1.4887972301022432,7.540945232189567,True,True,False,False,77.25039044389007,-1.1317589473257923,-1.1317589473257923,5.906548083806978
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,4,0,4,4,51.82205666711353,53.2075570678904,0.9739604583046534,0.9998179186275826,7.1139459357300865,21.79810057465105,1.8214841830550068,9.704410251758176,0.20001196571810154,0.19258823468961028,True,1.8861580793186121,7.734215171169997,True,True,False,False,67.6977541026209,-10.430478730778251,-10.430478730778251,1.1103759901085895
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,5,0,5,5,51.82205666711353,53.214982552264466,0.9738245543201506,0.9998280166346425,7.111311692893214,21.83182044778115,14.380077865815274,10.19355290334778,0.20001155760847178,0.19223078263358728,True,2.3392065728823543,8.239644753214275,True,True,False,False,87.66246755601311,-3.130952128180519,-3.130952128180519,2.0862159178974395
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,6,0,6,6,51.82205666711353,53.47045003635309,0.9691718815136423,0.999891958458885,7.112094786343897,21.804911597545725,3.111414245931207,9.717109110486438,0.20001123017890188,0.1939413203121052,True,1.8786293725092256,7.423715290104309,True,True,False,False,115.1859906698493,-2.46803979602756,-2.46803979602756,0.1695836180230881
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,7,0,7,7,51.82205666711353,53.43534593143709,0.9698085745268016,0.9999217461560722,7.110649565434205,21.797525016576714,2.8599777387166014,9.804364179366209,0.20001087774448112,0.19370281792939167,False,2.3667507720096017,7.671949239004967,True,True,False,False,149.2160642898403,-1.5511394305007158,-1.5511394305007158,0.5078543847131995
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,8,1,7,8,51.82205666711353,53.33366597679181,0.9716575022175288,0.9998944830937494,7.107607815659308,21.85664453804509,-1.74396928614754,9.706946625112012,0.2000103923412238,0.19304809526335065,True,1.025888618973101,8.106273016723955,True,True,False,False,113.2537493027322,-1.6678502784578182,-1.6678502784578182,1.8055097041792545
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,9,1,6,9,51.82205666711353,53.68674705032042,0.965267212381873,0.9998068267838446,7.111957502250661,21.80855875028846,7.282821263173797,9.728166948731262,0.20001028874720864,0.1934343822296948,True,2.9581122484206834,7.6876734171131265,True,True,False,False,88.16744329091857,-2.4842726652054457,-2.4842726652054457,1.4355449340552864
