source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,26,53.691818353191444,53.62979515562861,53.75322572302921,0.9998467621556445,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,27,53.756234933006645,53.71276820970309,53.74476195468287,0.9998728261241705,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,28,53.723236543608515,53.652460840322824,53.72170741791057,0.9998833359451973,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,29,53.52497553534908,53.463671540233065,53.560229465436386,0.9998282510386427,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,30,53.74222355953399,53.57739595789491,53.761799532270594,0.999808446772658,503,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,31,53.66624373093448,53.560954815849804,53.70889680938222,0.9998830521387322,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,32,53.79953987418795,53.85142791687645,53.8285771732438,0.9998418932070218,502,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,33,53.84162048600193,53.7044776611916,53.93117971628132,0.9998713242728692,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,34,53.48302876065946,53.43954881194428,53.509907927729934,0.9998822521621524,502,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,35,53.66179980142484,53.52843335449293,53.75407027774598,0.9998947292668079,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,36,53.43258777662308,53.37910347886171,53.47168523523934,0.9998672227656178,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,37,53.36958700794867,53.313307200583154,53.420163450591886,0.9998825863734304,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,38,53.53186301743802,53.334656251564084,53.66262175863884,0.9998902111419731,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,39,53.3126300846934,53.288922454280446,53.390942651261646,0.9999189718716178,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,40,53.50551670641418,53.38624487393853,53.575385508809504,0.9999264824606083,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,41,53.97149920111228,54.11494757429543,53.7317736624164,0.9997247563083131,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,42,53.73337222027055,53.706481515106155,53.731951525343504,0.9998991709993235,499,True
