source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,9,2,0.2,200.0,6.252167664291161,11.467417016647696,-5.215249352356535
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,20.0,2456.0432930672378,2487.683427368541,-31.64013430130308
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,50.0,570.9832410968102,593.9533695268176,-22.970128430007435
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,100.0,60.80292098570237,74.3535085946628,-13.550587608960427
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,200.0,2.718560050249215,11.666389919830378,-8.947829869581163
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,20.0,2369.89383156281,2393.961144290908,-24.06731272809793
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,50.0,500.8101017118212,522.665827650842,-21.855725939020772
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,100.0,41.422188712384965,57.08500760447494,-15.662818892089973
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,200.0,1.0472184171856318,11.524785636655588,-10.477567219469957
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,20.0,2194.6118387901033,2236.0947102434143,-41.48287145331096
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,50.0,419.21598678346106,447.6613693212862,-28.44538253782514
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,100.0,25.724771277333883,46.09437964462997,-20.369608367296085
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,200.0,2.1121416234877586,12.835462624078358,-10.7233210005906
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,13,3,0.05,20.0,2578.5093083039246,2586.6302100947314,-8.120901790806784
