block,baseline_method,distance_nm,low_actual_speed_um_per_s,high_actual_speed_um_per_s,speed_slope_median_pN_per_um_s,speed_slope_q25_pN_per_um_s,speed_slope_q75_pN_per_um_s,zero_speed_intercept_median_pN,zero_speed_intercept_q25_pN,zero_speed_intercept_q75_pN,mid_speed_residual_median_pN,mid_speed_residual_q25_pN,mid_speed_residual_q75_pN,mid_speed_pair_present,mid_speed_pixel_count,paired_pixel_count,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio
1,linear_drift_corrected,5.0,0.049361446369162475,0.19646557354775118,152.35122812477255,-632.4427517254339,837.5024870273791,5716.973009182215,5499.738210324687,5893.276332058433,-63.472911933291016,-166.88854627200385,58.77290322000886,True,64,64,68.63619741594182,2.2196921429302057
1,linear_drift_corrected,10.0,0.049361446369162475,0.19646557354775118,266.05564958230116,-545.5985797829226,600.693792981647,3808.453548039067,3638.878171732626,3947.3847006033593,8.483238944340428,-38.20739157806486,63.02289562024396,True,64,64,34.31809870797091,7.752633729691604
1,linear_drift_corrected,15.0,0.049361446369162475,0.19646557354775118,297.0401453911811,-221.7610141369553,538.5885119298953,2515.010243860248,2420.0600253149705,2646.6986910846094,2.0825339412812127,-33.58224888053792,37.14936250309381,True,64,64,22.878732471980605,12.983243095086834
1,linear_drift_corrected,20.0,0.049361446369162475,0.19646557354775118,239.5907615964175,-0.5181656492927367,565.4844471127329,1708.0138741470664,1630.6421565350731,1812.0908639884913,9.517016756300109,-15.039744677195813,28.489902754078685,True,64,64,17.159049353985456,13.962939126389822
1,linear_drift_corrected,25.0,0.049361446369162475,0.19646557354775118,255.17736393390302,111.29485174003322,549.9072992992499,1171.329425223166,1103.012367760196,1237.70488961722,13.938688308330484,-7.916545278815306,28.025597398327477,True,64,64,13.727239483188363,18.58912451016948
1,linear_drift_corrected,30.0,0.049361446369162475,0.19646557354775118,345.9831948409616,199.4593784282162,573.5724624729355,788.1515901483425,746.4704539608258,846.7294948911536,15.735607929136961,0.3243574353969194,26.45985361122817,True,64,64,11.439366235990303,30.244961801505774
1,linear_drift_corrected,35.0,0.049361446369162475,0.19646557354775118,380.52174096073077,228.14136864340972,531.2139299348039,539.6835253969055,502.89100145985384,586.9984120035188,11.76409854769338,-0.9780812102917764,23.815178659138184,True,64,64,9.80517105942026,38.80827153904131
1,linear_drift_corrected,40.0,0.049361446369162475,0.19646557354775118,378.33675447221003,236.1681544840503,497.7269040130004,371.9789974206403,340.4078846413008,411.51852177542673,9.059002961124406,-1.9745096616679376,19.66655547228649,True,64,64,8.579524676992728,44.097635791732884
1,linear_drift_corrected,45.0,0.049361446369162475,0.19646557354775118,359.60721912728866,256.4265924827598,458.4072605059799,252.3665849592799,225.85029420820277,287.2310125230532,8.107640930613513,-0.35821090761023555,15.650999618710827,True,64,64,7.626244157326869,47.15390849135064
1,linear_drift_corrected,50.0,0.049361446369162475,0.19646557354775118,317.1951165291114,252.60007527440757,426.27741932586565,174.07488725028122,150.84029943743747,195.7786087331519,7.249082676749708,0.39451924652435366,18.16421223617585,True,64,64,6.8636197415941815,46.213969956243226
1,linear_drift_corrected,55.0,0.049361446369162475,0.19646557354775118,291.4420260614014,226.0663579490991,385.0251817743485,115.23309275056923,97.86313944448446,134.33913345784103,5.494210718254067,1.0607418430795832,15.641187284545111,True,64,64,6.239654310540166,46.708040470942585
1,linear_drift_corrected,60.0,0.049361446369162475,0.19646557354775118,251.5322266535501,180.87862194084164,345.27799755199703,78.07684345981201,60.510075474894094,94.46235599283479,4.823738741993928,-2.671634539305984,17.258893549241314,True,64,64,5.719683117995151,43.97660175651768
1,linear_drift_corrected,65.0,0.049361446369162475,0.19646557354775118,208.8389933264312,134.55761506935315,304.5942852554497,53.581277521388444,40.293720351890144,69.73891084145316,2.863922894976689,-3.524680141439932,13.780155340238522,True,64,64,5.279707493533986,39.55503095241442
1,linear_drift_corrected,70.0,0.049361446369162475,0.19646557354775118,173.9562785858821,107.9053241491526,272.4851932676644,35.902637075104614,24.324447508666225,50.43908299875228,2.602694902753238,-4.177884843329862,14.391325701451978,True,64,64,4.90258552971013,35.48255864822565
1,linear_drift_corrected,75.0,0.049361446369162475,0.19646557354775118,142.3059341419313,75.26072178637757,234.62981124849347,26.756943205394823,14.115353515380379,39.84268800167265,2.1814987676618713,-4.3399705219964675,12.32441831041087,True,64,64,4.575746494396121,31.100047678824033
1,linear_drift_corrected,80.0,0.049361446369162475,0.19646557354775118,117.30673369250246,51.58591520452018,203.6101296058261,19.62324828668479,7.247385832458512,30.772461238582235,1.3809896270311182,-4.669224463719974,10.020751402760762,True,64,64,4.289762338496364,27.345741893389018
1,linear_drift_corrected,85.0,0.049361446369162475,0.19646557354775118,105.336003549787,36.75262778476408,172.17658153758163,13.58531873715728,0.7636936347185128,23.119445338258053,2.327888408180346,-4.26992020365241,9.533431546093258,True,64,64,4.037423377408342,26.089907771179327
1,linear_drift_corrected,90.0,0.049361446369162475,0.19646557354775118,87.11749087012598,3.5709581539632724,151.1216750299619,12.967240568657733,-1.4193278755378858,22.80841215827676,0.7585331921771026,-4.178940815927742,8.855835072761057,True,64,64,3.8131220786634343,22.846761544194297
1,linear_drift_corrected,95.0,0.049361446369162475,0.19646557354775118,54.18169836758253,-14.308966296180053,123.57257207227755,12.23285298440664,-2.160978372581709,19.996357514583014,-0.9501385824255415,-4.897764153757505,9.066432553294646,True,64,64,3.6124314429443065,14.998678652686573
1,linear_drift_corrected,100.0,0.049361446369162475,0.19646557354775118,49.15043745061074,-22.32949321638262,111.50367966668155,10.068905402280866,-3.3035905797924396,18.1610760256048,0.07741043333012065,-7.0962828728347915,9.155717163509271,True,64,64,3.4318098707970908,14.322016458095563
1,linear_drift_corrected,105.0,0.049361446369162475,0.19646557354775118,33.34597666452382,-26.491089713502063,85.9654969600939,11.241597141147924,-2.241064124777143,16.362911455508645,-0.230518068852529,-6.461975760916335,8.226289867307855,True,64,64,3.268390353140087,10.202568561765233
1,linear_drift_corrected,110.0,0.049361446369162475,0.19646557354775118,32.7229971008736,-35.708744742382216,71.55046088506286,10.067629943070822,-2.9648902273779862,15.672228260195933,-0.9742814999681215,-4.4836018053176065,6.962546212255693,True,64,64,3.119827155270083,10.488721160592878
1,linear_drift_corrected,115.0,0.049361446369162475,0.19646557354775118,17.44253171597864,-41.115011844698955,80.57934229263165,8.303910338130457,-3.7748745510168327,16.936074091297442,-0.4589192436112093,-5.593400799880537,7.393376182729431,True,64,64,2.9841824963452965,5.844994981821776
1,linear_drift_corrected,120.0,0.049361446369162475,0.19646557354775118,14.198993698081466,-47.09126663231868,64.8603178968158,8.284162448999135,-5.692587758127475,15.190600141162403,-0.7865274430713511,-6.341670590396468,7.725937444300455,True,64,64,2.8598415589975756,4.9649581646958305
1,linear_drift_corrected,125.0,0.049361446369162475,0.19646557354775118,2.6190367145791775,-42.16231140865549,67.46679121668248,7.744866487838301,-3.842109806363008,17.096337827356855,-0.9907422694192336,-6.387202341266747,8.11315750848096,True,64,64,2.7454478966376725,0.95395608045838
1,linear_drift_corrected,130.0,0.049361446369162475,0.19646557354775118,2.402403446333983,-50.36480204326978,50.75113804488873,6.5751603516010135,-3.5539476321667482,15.142535133240958,-0.6145168661291733,-6.459734415659012,7.313421894669751,True,64,64,2.639853746766993,0.910051721341073
1,linear_drift_corrected,135.0,0.049361446369162475,0.19646557354775118,9.941836501027048,-53.63816745045601,56.49140728177612,7.23667566014716,-4.186624124524274,14.31369919339437,-1.3629502871571955,-5.740169063202043,6.3251417083124135,True,64,64,2.542081385775623,3.910904094832377
1,linear_drift_corrected,140.0,0.049361446369162475,0.19646557354775118,0.8787700163999779,-46.841341910072806,43.55136470158349,6.39150508397878,-3.30455125037481,16.127099100965225,-0.5409900222659827,-6.793067221694819,8.441157564831213,True,64,64,2.451292764855065,0.3584924775200958
1,linear_drift_corrected,145.0,0.049361446369162475,0.19646557354775118,-0.37177224146445176,-47.38953381657683,49.69108200523774,6.392362534784791,-3.6748203639080166,15.675511467011361,-0.7668986550276042,-5.124453162074315,7.306859099331964,True,64,64,2.3667654281359245,-0.15708030759823177
1,linear_drift_corrected,150.0,0.049361446369162475,0.19646557354775118,2.3534133287759995,-47.82515696630356,45.62361565773339,6.5328675186614955,-3.810071246393877,15.685818338214705,-2.019197636750201,-5.731020242353335,6.667583781367497,True,64,64,2.2878732471980605,1.02864672754848
1,linear_drift_corrected,155.0,0.049361446369162475,0.19646557354775118,-4.317382341877508,-47.59457270352213,43.3507796905015,7.152792352332556,-2.4123580086114944,15.155455565659608,-1.4800980255663392,-6.089826778569124,6.702779946214878,True,64,64,2.21407088438522,-1.9499747602147404
1,linear_drift_corrected,160.0,0.049361446369162475,0.19646557354775118,-5.586938639510743,-43.92344803658605,34.7102461253604,7.451893256444146,-3.10772383829632,13.85427898871985,0.05513887828751951,-4.351060268589166,6.314734525566966,True,64,64,2.144881169248182,-2.6047777003278285
1,linear_drift_corrected,165.0,0.049361446369162475,0.19646557354775118,-0.6841076223347107,-45.49242908753955,26.06676690729389,7.096444139046328,-0.7644694229968478,12.17804316964468,-1.5744951641410712,-5.6266004621256185,6.440737805430267,True,64,64,2.079884770180055,-0.32891611696136785
1,linear_drift_corrected,170.0,0.049361446369162475,0.19646557354775118,-4.742076185429069,-48.76614201525173,25.89241641035566,7.849675382589124,-1.5829052365559833,13.173257096878451,0.24010855368161188,-5.50333377245399,4.439190207300321,True,64,64,2.018711688704171,-2.3490606469282644
1,linear_drift_corrected,175.0,0.049361446369162475,0.19646557354775118,-1.6624821312156253,-31.494269625204076,29.666816726331717,6.023314147077622,-1.1048480759788,12.544816505759062,-1.7194705388953764,-4.482302318077943,4.634085385678169,True,64,64,1.9610342118840518,-0.8477578418269437
