map_count,parameter_count,design_rank,residual_df,unit_scaled_design_condition_number,speed_slope_pN_per_um_s,speed_slope_classical_SE_pN_per_um_s,speed_slope_HC3_SE_pN_per_um_s,speed_slope_HC3_95CI_low_pN_per_um_s,speed_slope_HC3_95CI_high_pN_per_um_s,residual_RMSE_pN,LOOCV_RMSE_pN,R_squared,AICc,fit_status,test,baseline_method,distance_nm,time_model,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio,time_coordinate,claim_status
17,3,3,14,1.072912957239902,-89.80447313928607,542.5950768701617,672.1740466076828,-1531.4744202666964,1351.8654739881242,140.26792856679577,167.83310787549686,0.9646681065435061,172.6263501517985,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly1,17.159049353985456,-5.23365084432417,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,4,4,13,1.1210159228713044,-103.7845689512038,166.92826860745578,185.0917109329147,-503.6508998214149,296.08176191900725,43.15202045924443,54.58716542838154,0.9968949561925622,134.77363973882504,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly2,17.159049353985456,-6.04838687797691,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.3889260164496977,-130.11437117621827,168.4541963515745,262.1063981019259,-701.1951540975616,440.96641174512513,43.04421454236113,75.6939843384556,0.9971481089504046,137.44907795980066,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly3,17.159049353985456,-7.582842644251571,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,2.1027706913146416,-298.26374097374037,138.31368149396081,166.39854656460196,-664.5044726218009,67.97699067432012,32.602804238354025,39.40484183547979,0.9985002298443927,131.46913513327308,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly4,17.159049353985456,-17.382299847774725,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,7,7,10,3.0168438884889035,-288.4480705814991,145.64244714919946,224.97193928081003,-789.716789094969,212.82064793197083,33.89204971400432,53.69116004805135,0.99852660979287,137.211899992205,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly5,17.159049353985456,-16.810259393216477,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.0908503246792092,-89.00874627498615,470.35916379316694,568.1288117720273,-1326.8550902653124,1148.83759771534,121.43583520018174,157.2333377558169,0.977301503901534,172.71245626179487,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,block_fixed_linear_within,17.159049353985456,-5.187277245887313,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,1.276624646775796,-134.04030284385635,412.58926082592046,551.2759861620586,-1347.3905674966404,1079.3099618089277,106.38403848231223,160.26858146346632,0.9840313669923888,171.6794815358867,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,block_fixed_quadratic_within,17.159049353985456,-7.811639216057352,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,3,3,14,1.072912957239902,6.744788670149546,361.13562351865545,435.40246584748684,-927.1006239657448,940.5902013060439,93.35828503059106,111.81371884730444,0.9785819816370926,158.78461862577302,full_rank,map3_5_no_refresh,linear_drift_corrected,25.0,global_time_poly1,13.727239483188363,0.49134341091738315,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,4,4,13,1.1210159228713044,-2.1167985597589336,155.74570504113245,201.29368141465497,-436.98535863162823,432.75176151211036,40.26125656511014,57.24525615413641,0.9963011772240187,132.416093014516,full_rank,map3_5_no_refresh,linear_drift_corrected,25.0,global_time_poly2,13.727239483188363,-0.15420424203652594,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.3889260164496977,-58.8482454647096,123.29185024102175,166.78017554730323,-422.2310316806909,304.5345407512717,31.504117843542193,52.62788442168161,0.9979094458890424,126.83735257629252,full_rank,map3_5_no_refresh,linear_drift_corrected,25.0,global_time_poly3,13.727239483188363,-4.286968660871733,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,2.1027706913146416,-150.8652983670212,119.67444755312653,145.11729540617569,-470.26631202738736,168.53571529334496,28.20923095795198,47.70810481000379,0.9984635419800024,126.54766774132102,full_rank,map3_5_no_refresh,linear_drift_corrected,25.0,global_time_poly4,13.727239483188363,-10.990213913859716,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
