block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_scan_number,late_scan_number,pair_center_time,early_late_separation_min,pixelwise_pairing_permitted,early_force_pN,late_force_pN,pair_mean_force_pN,history_half_difference_pN,history_half_difference_absolute_pN,early_gap_speed_um_per_s,late_gap_speed_um_per_s,pair_mean_gap_speed_um_per_s,pair_gap_speed_over_nominal
1,0.1,5.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,151.49846671794856,274.79217302340305,213.1453198706758,61.646853152727246,61.646853152727246,0.02678251228720452,0.025646281611623595,0.026214396949414055,0.26214396949414054
1,0.1,10.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,591.722600366501,689.0106834069157,640.3666418867083,48.644041520207395,48.644041520207395,0.05373168663372173,0.04123845382561559,0.04748507022966866,0.47485070229668663
1,0.1,15.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,618.9521161900201,665.3257886460266,642.1389524180233,23.186836228003244,23.186836228003244,0.08820231116113669,0.08668369998408987,0.08744300557261328,0.8744300557261327
1,0.1,20.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,499.74807373603375,524.9334143118781,512.340744023956,12.592670287922175,12.592670287922175,0.08848845788280972,0.08776277176500843,0.08812561482390907,0.8812561482390907
1,0.1,25.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,403.10203824974985,406.38876136161906,404.74539980568443,1.6433615559346038,1.6433615559346038,0.08996125125697911,0.089412007346958,0.08968662930196855,0.8968662930196855
1,0.1,30.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,321.5671958112853,324.81576098519747,323.1914783982414,1.6242825869560988,1.6242825869560988,0.09171211559949853,0.09192867087704895,0.09182039323827373,0.9182039323827373
1,0.1,35.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,247.88418937286514,260.2269689457085,254.05557915928682,6.171389786421685,6.171389786421685,0.093678321097637,0.09387649135575082,0.09377740622669392,0.9377740622669392
1,0.1,40.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,199.1250667881104,212.27534854169386,205.7002076649021,6.575140876791735,6.575140876791735,0.09505300489114495,0.09520075948042943,0.09512688218578719,0.9512688218578719
1,0.1,45.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,157.00525594249947,176.57971322988553,166.7924845861925,9.787228643693027,9.787228643693027,0.096109228671952,0.0959937141589378,0.0960514714154449,0.960514714154449
1,0.1,50.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,131.37450405534787,146.70670810576604,139.04060608055696,7.666102025209085,7.666102025209085,0.09641725332263461,0.09654399231576413,0.09648062281919936,0.9648062281919936
1,0.1,55.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,107.15858975965475,117.78570257954831,112.47214616960153,5.313556409946784,5.313556409946784,0.09722357316751334,0.09686915097776008,0.09704636207263671,0.970463620726367
1,0.1,60.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,86.05708060434714,92.54370410322936,89.30039235378825,3.243311749441112,3.243311749441112,0.09798312988447098,0.09755104409261038,0.09776708698854068,0.9776708698854067
1,0.1,65.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,71.49998261709919,76.07201533858385,73.78599897784153,2.2860163607423303,2.2860163607423303,0.09821950618572332,0.0981372524821417,0.0981783793339325,0.981783793339325
1,0.1,70.0,1,6,9,14,2026-09-16T10:15:38.513750+02:00,17.210308333333334,False,62.744698829181324,65.91457561290285,64.32963722104209,1.5849383918607636,1.5849383918607636,0.09850386204783705,0.0984347827801004,0.09846932241396872,0.9846932241396872
