block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN,pair_mean_gap_speed_um_per_s,gap_speed_over_nominal,additive_null_prediction_pN,theoretical_no_slip_prediction_pN,fitted_v_over_D_prediction_pN,shifted_v_over_D_prediction_pN,velocity_power_over_D_prediction_pN,empirical_power_shift_prediction_pN,actual_gap_theoretical_no_slip_prediction_pN,actual_gap_fitted_prediction_pN,actual_gap_shifted_prediction_pN
1,20.0,0.1,512.340744023956,-148.7267793310308,0.08812561482390907,0.8812561482390907,-0.0,-1543.8043462820795,-160.25223264405759,-135.91573099573338,-165.75697979299716,-140.4699691314562,-1171.4496903241509,-150.84930764435376,-137.4441964710524
1,20.0,0.2,679.1083313323477,-27.438504840297185,0.1705334902346799,0.8526674511733995,-0.0,-385.95108657052003,-40.06305816101442,-33.97893274893336,-31.805937474785583,-27.241894999506815,-265.2615448439171,-34.15812109976674,-30.894480973065924
1,20.0,0.4,961.8152967167914,176.1652841713281,0.32747488152815996,0.8186872038203998,0.0,1929.755432852599,200.31529080507195,169.8946637446667,197.56291726778278,167.7118641309631,1436.7112351680676,185.00742874412043,168.33867744411842
1,25.0,0.1,404.74539980568443,-110.8099246009881,0.08968662930196855,0.8968662930196855,-0.0,-1124.094418854411,-116.6848899978608,-110.55880219879623,-120.69307637343995,-114.24117385032295,-897.7906605987735,-115.60983000765226,-111.7986338428361
1,25.0,0.2,537.6510087741765,-23.383628450154163,0.17531334001724724,0.8765667000862362,-0.0,-281.02360471360294,-29.171222499465213,-27.639700549699068,-23.15894296316884,-22.155241308115173,-210.47872671776318,-27.103656658489573,-26.10406969024686
1,25.0,0.4,774.3313666482914,134.19355305114226,0.3410544027352087,0.8526360068380218,0.0,1405.1180235680135,145.85611249732594,138.19850274849526,143.8520193366088,136.3964151584382,1108.2693873165358,142.71348666614173,137.9027035330831
1,30.0,0.1,323.1914783982414,-98.45134709577576,0.09182039323827373,0.9182039323827373,-0.0,-844.2878005692992,-87.63999490039626,-90.50488625033465,-90.65047409373513,-93.50408208735895,-703.5763870694304,-90.60057101980298,-91.57260541531217
1,30.0,0.2,446.98492376752677,-20.13721454414849,0.1808272534531299,0.9041362672656494,-0.0,-211.07195014232488,-21.909998725099076,-22.626221562583666,-17.394279955424352,-18.133615334287736,-160.48929836025977,-20.66644410079127,-20.76759146001886
1,30.0,0.4,664.8138763244177,118.58856163992402,0.3516787711093384,0.8791969277733459,0.0,1055.3597507116237,109.54999362549532,113.13110781291827,108.04475404915951,111.63769742164678,864.0656854296889,111.26701512059408,112.34019687533103
1,35.0,0.1,254.05557915928682,-81.60346888975374,0.09377740622669392,0.9377740622669392,-0.0,-644.4259303656478,-66.89364125935019,-74.24790408618315,-69.19147246537456,-76.69739056820802,-558.3812985287733,-71.9035849173455,-75.31572782760433
1,35.0,0.2,364.4436551238757,-16.694705742822975,0.18519639557087375,0.9259819778543688,-0.0,-161.106482591412,-16.723410314837555,-18.561976021545796,-13.276663521321145,-14.874227377668019,-127.0181226426537,-16.356311344132937,-17.037661596873065
1,35.0,0.4,558.5397118720939,98.29817463257677,0.36093604908740307,0.9023401227185076,0.0,805.5324129570595,83.6170515741877,92.80988010772892,82.46813598669573,91.57161794587608,685.3994211714268,88.25989626147839,92.35338942447748
1,40.0,0.1,205.7002076649021,-67.13141424165264,0.09512688218578719,0.9512688218578719,-0.0,-494.5295277129093,-51.33387602856563,-60.802766324443674,-53.09722124410415,-62.800406349956646,-441.7239024462972,-56.88143964214786,-61.44084439907618
1,40.0,0.2,307.14784487319724,-11.163089851015627,0.18741569834865818,0.9370784917432908,-0.0,-123.63238192822737,-12.833469007141414,-15.200691581110926,-10.188451195743742,-12.179130431151854,-106.29090350622367,-13.687236707852067,-14.74483339881473
1,40.0,0.4,475.7086151896996,78.29450409266826,0.3681694471797933,0.9204236179494831,0.0,618.1619096411364,64.16734503570702,76.00345790555457,63.28567243984789,74.97953678110855,548.0148059525197,70.56867634999979,76.18567779789105
1,45.0,0.1,166.7924845861925,-56.957009155941876,0.0960514714154449,0.960514714154449,-0.0,-377.9434367607793,-39.23183640462208,-49.49802600657839,-40.57947029422714,-51.11770115709927,-347.97591259463525,-44.80937245993713,-49.823230764312655
1,45.0,0.2,264.08865959494426,-5.14014696484827,0.18943408140701481,0.947170407035074,-0.0,-94.48585919019486,-9.807959101155523,-12.374506501644603,-7.786508275850203,-9.913457347133614,-85.58858720954395,-11.021368847044135,-12.22523923532172
1,45.0,0.4,410.4291390534012,62.0971561207902,0.37346118741662604,0.9336529685415651,0.0,472.429295950974,49.03979550577759,61.872532508222974,48.36597857007735,61.03115850423292,433.56449980417835,55.83074130698116,62.048469999634555
1,50.0,0.1,139.04060608055696,-39.90916659679118,0.09648062281919936,0.9648062281919936,-0.0,-284.67456399907525,-29.550204705467237,-39.86025615868678,-30.565269534325544,-41.159106584247475,-273.12106172785064,-35.1702027027184,-40.28730901192572
