model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
velocity_power_over_D,32871.496947799984,0.7604432113888684,0.0,2,43.895911311375286,8.06068572072128,0.18363181170890544,True,15,`xtol` termination condition is satisfied.,2,9928.441359052142,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,63490.879276124906,0.7579991145247491,20.006922074528376,3,43.895911311375286,2.759526341791038,0.06286522501415588,True,18,`ftol` termination condition is satisfied.,3,64004.524724796254,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,43.895911311375286,273.5852690778648,6.232591166343259,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,43260.29093336141,1.0,0.0,1,43.895911311375286,5.248782851077574,0.11957338836971343,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,58335.5852769402,1.0,7.854824450426786,2,43.895911311375286,3.2390029216026957,0.07378826010985066,True,15,`ftol` termination condition is satisfied.,2,6728.946218994894,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,42.42902486679685,42.42902486679685,1.0,True,0,closed form,0,nan,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.42902486679685,342.9876588756801,8.083797823599939,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,34189.15324315302,1.0,0.0,1,42.42902486679685,7.381654198583137,0.1739765224809516,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,61135.11821714544,1.0,17.053356224930518,2,42.42902486679685,3.0725335609117996,0.07241584199867468,True,10,`ftol` termination condition is satisfied.,2,6820.335854664513,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,33176.01268616101,0.9219444866859909,0.0,2,42.42902486679685,7.359940622664378,0.17346476016760767,True,11,`ftol` termination condition is satisfied.,2,28949.445510262285,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,59318.08181166229,0.9213072753431257,17.05832246656805,3,42.42902486679685,3.0177255646714265,0.07112408484864732,True,11,`ftol` termination condition is satisfied.,3,106428.19529922253,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.42902486679685,275.4555823313421,6.492149729957662,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,41800.94645166787,1.0,0.0,1,42.42902486679685,4.646853496147628,0.10952062911500136,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,53960.26592644021,1.0,6.569519712048061,2,42.42902486679685,3.043714824260181,0.07173661977421646,True,14,`xtol` termination condition is satisfied.,2,6421.079959707087,sensitivity_20_250,20.0,250.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,39.741406360172135,39.741406360172135,1.0,True,0,closed form,0,nan,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,39.741406360172135,345.7236025763648,8.699329848649757,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,31950.253063352557,1.0,0.0,1,39.741406360172135,7.402754886532461,0.18627309812446197,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,57667.72602036283,1.0,17.413131146022913,2,39.741406360172135,3.952807297727568,0.09946319619149097,True,8,`ftol` termination condition is satisfied.,2,6405.023771258493,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,29714.475525568876,0.6226659847418471,0.0,2,39.741406360172135,6.908000264367399,0.1738237495110497,True,16,`ftol` termination condition is satisfied.,2,7796.994811088189,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
