acquisition_order,instrument_scan_number,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN,available_gap_speed_pixels,map_median_gap_speed_um_per_s,map_gap_speed_q25_um_per_s,map_gap_speed_q75_um_per_s,map_gap_speed_spatial_mad_um_per_s
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,5.0,62,151.49846671794856,-130.95252838358158,592.1260407704771,518.5557385948557,59,0.02678251228720452,0.020870987361973972,0.03288920408423179,0.00896642820738825
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,10.0,63,591.722600366501,250.34660499453088,816.1278094467781,425.97888616840623,63,0.05373168663372173,0.039318463075008775,0.09428978113309992,0.029024406418357573
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,15.0,63,618.9521161900201,477.98997125454014,735.0315008526388,196.29547899845136,63,0.08820231116113669,0.08349433001566985,0.0960916697693861,0.008344615794696413
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,20.0,63,499.74807373603375,423.5019327960416,575.6748714299067,117.7876221187127,63,0.08848845788280972,0.08611417039869512,0.09090425323189452,0.0035403122863502928
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,25.0,63,403.10203824974985,328.48886499362067,453.0620202335429,90.92254353605486,63,0.08996125125697911,0.08825428734856891,0.09232914360773006,0.0031094752777927003
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,30.0,63,321.5671958112853,255.76082379594882,366.7944072313211,72.90776208026234,63,0.09171211559949853,0.09086288601696996,0.09368021104628124,0.0020517880042882847
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,35.0,63,247.88418937286514,208.5085443414339,289.12300658358225,66.84113927623214,63,0.093678321097637,0.09273153442851054,0.09488616291173971,0.0016840580964578142
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,40.0,63,199.1250667881104,176.01744146832283,238.90848771091765,46.27249282253019,63,0.09505300489114495,0.09384866768660581,0.09641012037652563,0.0018862016442122407
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,45.0,63,157.00525594249947,131.74816093188144,186.91644724879293,43.50933718942118,63,0.096109228671952,0.09511646400329782,0.09709940249341154,0.001472692351709704
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,50.0,63,131.37450405534787,99.16804640705294,154.18995706633285,41.53003737870063,63,0.09641725332263461,0.09586983717824052,0.09733946390069267,0.0009448460830776669
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,55.0,63,107.15858975965475,78.43261055585766,126.90720089266692,35.900713915083685,63,0.09722357316751334,0.09653912757411742,0.0979500472126425,0.0010329494235120928
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,60.0,63,86.05708060434714,54.31334797273841,106.06190915717684,36.13919133954577,63,0.09798312988447098,0.09704653412057082,0.09865064175200361,0.001177644989061339
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,65.0,63,71.49998261709919,52.306737534450704,91.24800062154229,30.09484597007492,63,0.09821950618572332,0.09731819071361045,0.09889189863211442,0.0011264046963307638
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,70.0,63,62.744698829181324,38.363979523882804,78.88554895115084,31.04502880387115,63,0.09850386204783705,0.09787858615438397,0.09918819191570838,0.0010075478063619585
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,75.0,63,47.10598852953662,35.20973591459432,62.40054303791452,20.440048706464317,63,0.09852373569239148,0.09807891138596417,0.099129502212683,0.0007656127252795812
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,80.0,63,43.408566249772804,22.408821010421743,61.850444534130986,29.909591514267973,63,0.09882690620707908,0.09798618845482757,0.0993096681379208,0.0009892431353114703
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,85.0,63,35.32888414647429,13.822437643658139,49.65169634885896,31.110186112468377,63,0.0989901572209703,0.09813618578981498,0.09957331202421357,0.0010790615965091033
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,90.0,63,22.08604609186707,5.7728497541964625,42.6722394973456,28.89760136203274,63,0.09930856334021299,0.09850283575910196,0.09989557586448777,0.0011036152634970981
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,95.0,63,21.59671502221576,6.8637967805050035,38.56817109490956,25.995504887068083,63,0.09939276017947896,0.09869604630889238,0.10009352243442601,0.0010419417686036894
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,100.0,63,17.475911920860753,2.7493345059975494,33.474411186204826,22.35921619382517,63,0.09947398729959034,0.09889538255504964,0.1000502536088985,0.0008622525202713054
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,105.0,63,15.645686621388338,-1.9608971721274704,36.59744493506272,28.877040797430674,63,0.09947083367457443,0.09862487076332688,0.10008250398966392,0.0011436466823178655
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,110.0,63,19.573299274465196,-2.8488106403299733,38.668254479920165,29.019457254076155,63,0.0993024867127869,0.0986413969618631,0.09992322410069976,0.0009426561458184691
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,115.0,63,10.67337684829663,-3.1739015847271808,25.696109006641937,22.330071279439807,63,0.09920465321292495,0.09858892240350753,0.09983076854800493,0.0009211568429911903
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,120.0,63,-2.1518139608894633,-13.502557757405551,17.425552480907694,22.851580997482227,63,0.09929363723804782,0.09892068059913865,0.09991527977521625,0.0008213662374190246
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,125.0,63,3.7483466040683555,-10.933689679663992,17.202281940902495,20.66642429147539,63,0.09961487162003221,0.0989016204889344,0.10022994619770072,0.001018040562281596
1,9,1,1,2026-09-16T10:07:02.204500+02:00,0.0,0.09999999999999999,130.0,63,5.592383325940401,-7.700192795833587,23.622390307373326,25.074383217903673,63,0.09953244431749536,0.0989764654457895,0.10012942438561598,0.000871349920167448
